#	Date	Type    Baden-Württemberg	Bayern	Berlin	Brandenburg	Bremen	Hamburg	Hessen	Mecklenburg-Vorpommern	Niedersachsen	Nordrhein-Westfalen	Rheinland-Pfalz	Saarland	Sachsen	Sachsen-Anhalt	Schleswig-Holstein	Thüringen	DE Total    Delta   Delta (%)
-20	28.02.20 10:00	Fälle	10	15								25	2				1		53		
-19	29.02.20 10:00	Fälle	14	15					3			30	1				1		66	13	25%
-18	01.03.20 15:00	Fälle	15	23			1	1	8		1	74	2				2		129	63	79%
-17	02.03.20 15:00	Fälle	20	26	1		1	2	10		1	90	2				2		157	28	22%
-16	03.03.20 15:00	Fälle	28	37	3	1	2	2	12		2	103	2		1		2	1	196	39	25%
-15	04.03.20 15:00	Fälle	50	48	7	1	3	3	12	4	7	115	7	1	1		2	1	262	66	34%
-14	05.03.20 15:00	Fälle	73	70	13	1	3	5	14	4	18	181	8	1	1		7	1	400	138	53%
-13	06.03.20 15:00	Fälle	96	117	19	2	4	11	16	5	18	329	10	2	2		7	1	639	239	60%
-12	07.03.20 15:00	Fälle	170	134	28	2	4	13	17	5	19	373	13	3	4		8	2	795	156	24%
-11	08.03.20 15:00	Fälle	182	172	40	4	4	13	19	8	21	398	19	4	7		9	2	902	107	13%
-10	09.03.20 15:00	Fälle	204	256	48	6	4	17	26	10	38	484	17	6	12		9	2	1139	237	26%
-9	10.03.20 15:00	Fälle	237	314	48	9	4	29	35	13	49	484	25	7	22	7	9	4	1296	157	14%
-8	11.03.20 15:00	Fälle	277	366	90	24	21	48	48	17	75	484	25	14	26	15	27	10	1567	271	21%
-7	12.03.20 15:00	Fälle	454	500	137	30	38	88	99	23	129	688	52	14	45	27	31	14	2369	802	51%
-6	13.03.20 15:00	Fälle	454	558	174	44	42	99	148	33	230	936	102	40	83	42	48	29	3062	693	29%
-5	14.03.20 15:00	Fälle	569	681	216	61	50	158	203	45	253	1154	121	40	93	45	60	46	3795	733	24%
-4	15.03.20 15:00	Fälle	827	886	265	84	53	162	286	50	287	1407	168	32	130	47	103	51	4838	1043	27%
-3	16.03.20 15:00	Fälle	1105	1067	300	94	56	260	342	51	391	1541	325	85	140	77	123	55	6012	1174	24%
-2	17.03.20 15:00	Fälle el	1479	1109	345	73	57	310	373	45	325	2105	442	75	182	58	127	51	7156	1144	19%
-1	18.03.20 00:00	Fälle el. übermittelt	1609	1243	391	92	69	358	432	56	478	2372	474	88	198	105	159	74	8198	1042	39%
0	19.03.20 00:00	Fälle el. übermittelt	2155	1692	573	134	80	432	682	98	669	3033	637	99	275	140	202	98	10999	2801	34%
