# Country	Code	a	b	Deaths	Doubling time	Factor at t+1	Deaths at t+1	Factor at t+7	Deaths at t+7
Austria	AT	6	5.96	0.34	2.05	1.40	8	10.61	63
Belgium	BE	21	20.62	0.37	1.86	1.45	30	13.58	285
France	FR	243	226.88	0.21	3.34	1.23	299	4.27	1038
Germany	DE	44	43.04	0.33	2.11	1.39	61	10.00	439
Hungary	HU	1	1.28	0.25	2.74	1.29	1	5.88	5
Iran	IR	1284	1336.95	0.16	4.21	1.18	1513	3.17	4064
Italy	IT	3405	3565.74	0.19	3.69	1.21	4109	3.73	12702
Japan	JP	29	33.51	0.11	6.08	1.12	32	2.22	64
Korea, South	KR	91	91.83	0.06	12.02	1.06	96	1.50	136
Netherlands	NL	77	78.91	0.35	1.99	1.42	109	11.48	883
Spain	ES	830	854.34	0.30	2.31	1.35	1120	8.20	6803
Sweden	SE	11	12.14	0.32	2.20	1.37	15	9.07	99
Switzerland	CH	41	40.13	0.27	2.58	1.31	53	6.57	269
United Kingdom	UK	138	130.57	0.40	1.74	1.49	205	16.38	2259
US	US	200	177.95	0.23	3.01	1.26	251	5.01	1001
