# Country	Date	Confirmed	Deaths	Recovered
Afghanistan	16.03.2020	21	0	1
Albania	16.03.2020	51	1	0
Algeria	16.03.2020	54	4	12
Andorra	16.03.2020	2	0	1
Antigua and Barbuda	16.03.2020	1	0	0
Argentina	16.03.2020	56	2	1
Armenia	16.03.2020	52	0	0
Aruba	16.03.2020	2	0	0
Australia	16.03.2020	377	3	23
Austria	16.03.2020	1018	3	6
Azerbaijan	16.03.2020	15	1	6
Bahrain	16.03.2020	214	1	77
Bangladesh	16.03.2020	8	0	2
Belarus	16.03.2020	36	0	3
Belgium	16.03.2020	1058	5	1
Benin	16.03.2020	1	0	0
Bhutan	16.03.2020	1	0	0
Bolivia	16.03.2020	11	0	0
Bosnia and Herzegovina	16.03.2020	25	0	0
Brazil	16.03.2020	200	0	1
Brunei	16.03.2020	54	0	0
Bulgaria	16.03.2020	52	2	0
Burkina Faso	16.03.2020	15	0	0
Cambodia	16.03.2020	7	0	1
Cameroon	16.03.2020	4	0	0
Canada	16.03.2020	415	4	9
Central African Republic	16.03.2020	1	0	0
Chile	16.03.2020	155	0	0
China	16.03.2020	81033	3217	67910
Colombia	16.03.2020	54	0	0
Congo (Brazzaville)	16.03.2020	1	0	0
Congo (Kinshasa)	16.03.2020	2	0	0
Costa Rica	16.03.2020	35	0	0
Cote d'Ivoire	16.03.2020	1	0	0
Croatia	16.03.2020	57	0	2
Cruise Ship	16.03.2020	696	7	325
Cuba	16.03.2020	4	0	0
Cyprus	16.03.2020	33	0	0
Czechia	16.03.2020	298	0	3
Denmark	16.03.2020	932	3	1
Dominican Republic	16.03.2020	11	0	0
Ecuador	16.03.2020	37	2	0
Egypt	16.03.2020	150	2	27
Equatorial Guinea	16.03.2020	1	0	0
Estonia	16.03.2020	205	0	1
Eswatini	16.03.2020	1	0	0
Ethiopia	16.03.2020	5	0	0
Finland	16.03.2020	277	0	10
France	16.03.2020	6650	148	12
French Guiana	16.03.2020	11	0	0
Gabon	16.03.2020	1	0	0
Georgia	16.03.2020	33	0	1
Germany	16.03.2020	7272	17	67
Ghana	16.03.2020	6	0	0
Greece	16.03.2020	331	4	8
Greenland	16.03.2020	1	0	0
Guadeloupe	16.03.2020	6	0	0
Guam	16.03.2020	3	0	0
Guatemala	16.03.2020	2	1	0
Guernsey	16.03.2020	1	0	0
Guinea	16.03.2020	1	0	0
Guyana	16.03.2020	4	1	0
Holy See	16.03.2020	1	0	0
Honduras	16.03.2020	6	0	0
Hungary	16.03.2020	39	1	1
Iceland	16.03.2020	180	0	0
India	16.03.2020	119	2	13
Indonesia	16.03.2020	134	5	8
Iran	16.03.2020	14991	853	4590
Iraq	16.03.2020	124	10	26
Ireland	16.03.2020	169	2	0
Israel	16.03.2020	255	0	4
Italy	16.03.2020	27980	2158	2749
Jamaica	16.03.2020	10	0	2
Japan	16.03.2020	825	27	144
Jersey	16.03.2020	2	0	0
Jordan	16.03.2020	17	0	1
Kazakhstan	16.03.2020	10	0	0
Kenya	16.03.2020	3	0	0
Korea, South	16.03.2020	8236	75	1137
Kosovo	16.03.2020	2	0	0
Kuwait	16.03.2020	123	0	9
Latvia	16.03.2020	34	0	1
Lebanon	16.03.2020	99	3	1
Liberia	16.03.2020	1	0	0
Liechtenstein	16.03.2020	4	0	0
Lithuania	16.03.2020	17	0	1
Luxembourg	16.03.2020	77	1	0
Malaysia	16.03.2020	566	0	42
Maldives	16.03.2020	13	0	0
Malta	16.03.2020	30	0	2
Martinique	16.03.2020	15	1	0
Mauritania	16.03.2020	1	0	0
Mayotte	16.03.2020	1	0	0
Mexico	16.03.2020	53	0	4
Moldova	16.03.2020	23	0	0
Monaco	16.03.2020	7	0	0
Mongolia	16.03.2020	1	0	0
Morocco	16.03.2020	29	1	1
Namibia	16.03.2020	2	0	0
Nepal	16.03.2020	1	0	1
Netherlands	16.03.2020	1414	24	2
New Zealand	16.03.2020	8	0	0
Nigeria	16.03.2020	2	0	0
North Macedonia	16.03.2020	18	0	1
Norway	16.03.2020	1333	3	1
occupied Palestinian territory	16.03.2020	0	0	0
Oman	16.03.2020	22	0	9
Pakistan	16.03.2020	136	0	2
