# Country	Date	Confirmed	Deaths	Recovered
Afghanistan	19.03.2020	22	0	1
Albania	19.03.2020	64	2	0
Algeria	19.03.2020	87	9	32
Andorra	19.03.2020	53	0	1
Antigua and Barbuda	19.03.2020	1	0	0
Argentina	19.03.2020	97	3	3
Armenia	19.03.2020	115	0	1
Australia	19.03.2020	681	6	26
Austria	19.03.2020	2013	6	9
Azerbaijan	19.03.2020	44	1	6
Bahamas, The	19.03.2020	3	0	0
Bahrain	19.03.2020	278	1	100
Bangladesh	19.03.2020	17	1	3
Barbados	19.03.2020	5	0	0
Belarus	19.03.2020	51	0	5
Belgium	19.03.2020	1795	21	31
Benin	19.03.2020	2	0	0
Bhutan	19.03.2020	1	0	0
Bolivia	19.03.2020	12	0	0
Bosnia and Herzegovina	19.03.2020	63	0	2
Brazil	19.03.2020	621	6	2
Brunei	19.03.2020	75	0	0
Bulgaria	19.03.2020	94	3	0
Burkina Faso	19.03.2020	33	1	0
Cambodia	19.03.2020	37	0	1
Cameroon	19.03.2020	13	0	0
Canada	19.03.2020	800	9	9
Central African Republic	19.03.2020	1	0	0
Chad	19.03.2020	1	0	0
Chile	19.03.2020	238	0	0
China	19.03.2020	81156	3249	70535
Colombia	19.03.2020	102	0	1
Congo (Brazzaville)	19.03.2020	3	0	0
Congo (Kinshasa)	19.03.2020	14	0	0
Costa Rica	19.03.2020	69	1	0
Cote d'Ivoire	19.03.2020	9	0	1
Croatia	19.03.2020	105	1	5
Cruise Ship	19.03.2020	712	7	325
Cuba	19.03.2020	11	1	0
Cyprus	19.03.2020	67	0	0
Czechia	19.03.2020	694	0	3
Denmark	19.03.2020	1225	6	1
Djibouti	19.03.2020	1	0	0
Dominican Republic	19.03.2020	34	2	0
Ecuador	19.03.2020	199	3	0
Egypt	19.03.2020	256	6	32
El Salvador	19.03.2020	1	0	0
Equatorial Guinea	19.03.2020	6	0	0
Estonia	19.03.2020	267	0	1
Eswatini	19.03.2020	1	0	0
Ethiopia	19.03.2020	6	0	0
Fiji	19.03.2020	1	0	0
Finland	19.03.2020	400	0	10
France	19.03.2020	10947	243	12
Gabon	19.03.2020	1	0	0
Gambia, The	19.03.2020	1	0	0
Georgia	19.03.2020	40	0	1
Germany	19.03.2020	15320	44	113
Ghana	19.03.2020	11	0	0
Greece	19.03.2020	418	6	8
Guatemala	19.03.2020	9	1	0
Guinea	19.03.2020	1	0	0
Guyana	19.03.2020	7	1	0
Holy See	19.03.2020	1	0	0
Honduras	19.03.2020	12	0	0
Hungary	19.03.2020	73	1	2
Iceland	19.03.2020	330	1	5
India	19.03.2020	194	4	15
Indonesia	19.03.2020	311	25	11
Iran	19.03.2020	18407	1284	5710
Iraq	19.03.2020	192	13	43
Ireland	19.03.2020	557	3	5
Israel	19.03.2020	677	0	11
Italy	19.03.2020	41035	3405	4440
Jamaica	19.03.2020	15	1	2
Japan	19.03.2020	924	29	150
Jordan	19.03.2020	69	0	1
Kazakhstan	19.03.2020	44	0	0
Kenya	19.03.2020	7	0	0
Korea, South	19.03.2020	8565	91	1540
Kosovo	19.03.2020	2	0	0
Kuwait	19.03.2020	148	0	18
Kyrgyzstan	19.03.2020	3	0	0
Latvia	19.03.2020	86	0	1
Lebanon	19.03.2020	157	4	4
Liberia	19.03.2020	2	0	0
Liechtenstein	19.03.2020	28	0	0
Lithuania	19.03.2020	36	0	1
Luxembourg	19.03.2020	335	4	0
Malaysia	19.03.2020	900	2	75
Maldives	19.03.2020	13	0	0
Malta	19.03.2020	53	0	2
Martinique	19.03.2020	23	1	0
Mauritania	19.03.2020	2	0	0
Mauritius	19.03.2020	3	0	0
Mexico	19.03.2020	118	1	4
Moldova	19.03.2020	49	1	1
Monaco	19.03.2020	7	0	0
Mongolia	19.03.2020	6	0	0
Montenegro	19.03.2020	3	0	0
Morocco	19.03.2020	63	2	1
Namibia	19.03.2020	3	0	0
Nepal	19.03.2020	1	0	1
Netherlands	19.03.2020	2467	77	2
New Zealand	19.03.2020	28	0	0
Nicaragua	19.03.2020	1	0	0
Nigeria	19.03.2020	8	0	1
North Macedonia	19.03.2020	48	0	1
Norway	19.03.2020	1746	7	1
Oman	19.03.2020	48	0	12
Pakistan	19.03.2020	454	2	13
Panama	19.03.2020	109	1	0
Paraguay	19.03.2020	11	0	0
Peru	19.03.2020	234	0	1
Philippines	19.03.2020	217	17	8
Poland	19.03.2020	355	5	1
Portugal	19.03.2020	785	3	3
Qatar	19.03.2020	460	0	4
Romania	19.03.2020	277	0	25
Russia	19.03.2020	199	1	9
Rwanda	19.03.2020	8	0	0
Saint Lucia	19.03.2020	2	0	0
Saint Vincent and the Grenadines	19.03.2020	1	0	0
San Marino	19.03.2020	119	11	4
Saudi Arabia	19.03.2020	274	0	6
Senegal	19.03.2020	31	0	2
Serbia	19.03.2020	103	0	1
Seychelles	19.03.2020	6	0	0
Singapore	19.03.2020	345	0	114
Slovakia	19.03.2020	123	1	0
Slovenia	19.03.2020	286	1	0
Somalia	19.03.2020	1	0	0
South Africa	19.03.2020	150	0	0
Spain	19.03.2020	17963	830	1107
Sri Lanka	19.03.2020	60	0	3
Sudan	19.03.2020	2	1	0
Suriname	19.03.2020	1	0	0
Sweden	19.03.2020	1439	11	16
Switzerland	19.03.2020	4075	41	15
Taiwan*	19.03.2020	108	1	26
Tanzania	19.03.2020	6	0	0
Thailand	19.03.2020	272	1	42
Togo	19.03.2020	1	0	0
Trinidad and Tobago	19.03.2020	9	0	0
Tunisia	19.03.2020	39	1	0
Turkey	19.03.2020	192	3	0
Ukraine	19.03.2020	16	2	0
United Arab Emirates	19.03.2020	140	0	31
United Kingdom	19.03.2020	2716	138	67
Uruguay	19.03.2020	79	0	0
US	19.03.2020	13677	200	0
Uzbekistan	19.03.2020	23	0	0
Venezuela	19.03.2020	42	0	0
Vietnam	19.03.2020	85	0	16
Zambia	19.03.2020	2	0	0
