# Country	Date	Confirmed	Deaths	Recovered	Confirmed_per_Million	Deaths_per_Million	Recovered_per_Million
Austria	18.03.2020	1646	4	9	184.890	0.449	1.011
Belgium	18.03.2020	1486	14	31	129.040	1.216	2.692
Finland	18.03.2020	336	0	10	60.857	0.000	1.811
France	18.03.2020	9105	148	12	135.851	2.208	0.179
Germany	18.03.2020	12327	28	105	148.251	0.337	1.263
Hungary	18.03.2020	58	1	2	5.935	0.102	0.205
Iran	18.03.2020	17361	1135	5389	208.707	13.644	64.784
Italy	18.03.2020	35713	2978	4025	592.083	49.372	66.730
Japan	18.03.2020	889	29	144	7.047	0.230	1.141
Korea, South	18.03.2020	8413	84	1540	162.699	1.624	29.782
Netherlands	18.03.2020	2058	58	2	118.106	3.329	0.115
Spain	18.03.2020	13910	623	1081	297.648	13.331	23.131
Switzerland	18.03.2020	3028	28	15	353.320	3.267	1.750
United Kingdom	18.03.2020	2642	72	67	39.114	1.066	0.992
US	18.03.2020	7783	118	0	23.711	0.359	0.000
