#	Date	Confirmed	Deaths	Recovered	Confirmed_per_Million	Deaths_per_Million	Recovered_per_Million
-29	18.02.2020	1	0	1	0.087	0.000	0.087
-28	19.02.2020	1	0	1	0.087	0.000	0.087
-27	20.02.2020	1	0	1	0.087	0.000	0.087
-26	21.02.2020	1	0	1	0.087	0.000	0.087
-25	22.02.2020	1	0	1	0.087	0.000	0.087
-24	23.02.2020	1	0	1	0.087	0.000	0.087
-23	24.02.2020	1	0	1	0.087	0.000	0.087
-22	25.02.2020	1	0	1	0.087	0.000	0.087
-21	26.02.2020	1	0	1	0.087	0.000	0.087
-20	27.02.2020	1	0	1	0.087	0.000	0.087
-19	28.02.2020	1	0	1	0.087	0.000	0.087
-18	29.02.2020	1	0	1	0.087	0.000	0.087
-17	01.03.2020	2	0	1	0.174	0.000	0.087
-16	02.03.2020	8	0	1	0.695	0.000	0.087
-15	03.03.2020	13	0	1	1.129	0.000	0.087
-14	04.03.2020	23	0	1	1.997	0.000	0.087
-13	05.03.2020	50	0	1	4.342	0.000	0.087
-12	06.03.2020	109	0	1	9.465	0.000	0.087
-11	07.03.2020	169	0	1	14.675	0.000	0.087
-10	08.03.2020	200	0	1	17.367	0.000	0.087
-9	09.03.2020	239	0	1	20.754	0.000	0.087
-8	10.03.2020	267	0	1	23.186	0.000	0.087
-7	11.03.2020	314	3	1	27.267	0.261	0.087
-6	12.03.2020	314	3	1	27.267	0.261	0.087
-5	13.03.2020	559	3	1	48.542	0.261	0.087
-4	14.03.2020	689	4	1	59.831	0.347	0.087
-3	15.03.2020	886	4	1	76.938	0.347	0.087
-2	16.03.2020	1058	5	1	91.874	0.434	0.087
-1	17.03.2020	1243	10	1	107.939	0.868	0.087
0	18.03.2020	1486	14	31	129.040	1.216	2.692
