#	Date	Confirmed	Deaths	Recovered	Confirmed per Million	Deaths per Million	Recovered per Million
-29	19.02.2020	1	0	1	0.087	0.000	0.087
-28	20.02.2020	1	0	1	0.087	0.000	0.087
-27	21.02.2020	1	0	1	0.087	0.000	0.087
-26	22.02.2020	1	0	1	0.087	0.000	0.087
-25	23.02.2020	1	0	1	0.087	0.000	0.087
-24	24.02.2020	1	0	1	0.087	0.000	0.087
-23	25.02.2020	1	0	1	0.087	0.000	0.087
-22	26.02.2020	1	0	1	0.087	0.000	0.087
-21	27.02.2020	1	0	1	0.087	0.000	0.087
-20	28.02.2020	1	0	1	0.087	0.000	0.087
-19	29.02.2020	1	0	1	0.087	0.000	0.087
-18	01.03.2020	2	0	1	0.174	0.000	0.087
-17	02.03.2020	8	0	1	0.695	0.000	0.087
-16	03.03.2020	13	0	1	1.129	0.000	0.087
-15	04.03.2020	23	0	1	1.997	0.000	0.087
-14	05.03.2020	50	0	1	4.342	0.000	0.087
-13	06.03.2020	109	0	1	9.465	0.000	0.087
-12	07.03.2020	169	0	1	14.675	0.000	0.087
-11	08.03.2020	200	0	1	17.367	0.000	0.087
-10	09.03.2020	239	0	1	20.754	0.000	0.087
-9	10.03.2020	267	0	1	23.186	0.000	0.087
-8	11.03.2020	314	3	1	27.267	0.261	0.087
-7	12.03.2020	314	3	1	27.267	0.261	0.087
-6	13.03.2020	559	3	1	48.542	0.261	0.087
-5	14.03.2020	689	4	1	59.831	0.347	0.087
-4	15.03.2020	886	4	1	76.938	0.347	0.087
-3	16.03.2020	1058	5	1	91.874	0.434	0.087
-2	17.03.2020	1243	10	1	107.939	0.868	0.087
-1	18.03.2020	1486	14	31	129.040	1.216	2.692
0	19.03.2020	1795	21	31	155.873	1.824	2.692
