#	Date	Confirmed	Deaths	Recovered	Confirmed per Million	Deaths per Million	Recovered per Million
-29	19.02.2020	84	1	18	0.666	0.008	0.143
-28	20.02.2020	94	1	18	0.745	0.008	0.143
-27	21.02.2020	105	1	22	0.832	0.008	0.174
-26	22.02.2020	122	1	22	0.967	0.008	0.174
-25	23.02.2020	147	1	22	1.165	0.008	0.174
-24	24.02.2020	159	1	22	1.260	0.008	0.174
-23	25.02.2020	170	1	22	1.348	0.008	0.174
-22	26.02.2020	189	2	22	1.498	0.016	0.174
-21	27.02.2020	214	4	22	1.696	0.032	0.174
-20	28.02.2020	228	4	22	1.807	0.032	0.174
-19	29.02.2020	241	5	32	1.910	0.040	0.254
-18	01.03.2020	256	6	32	2.029	0.048	0.254
-17	02.03.2020	274	6	32	2.172	0.048	0.254
-16	03.03.2020	293	6	43	2.323	0.048	0.341
-15	04.03.2020	331	6	43	2.624	0.048	0.341
-14	05.03.2020	360	6	43	2.854	0.048	0.341
-13	06.03.2020	420	6	46	3.329	0.048	0.365
-12	07.03.2020	461	6	76	3.654	0.048	0.602
-11	08.03.2020	502	6	76	3.979	0.048	0.602
-10	09.03.2020	511	10	76	4.051	0.079	0.602
-9	10.03.2020	581	10	101	4.606	0.079	0.801
-8	11.03.2020	639	15	118	5.065	0.119	0.935
-7	12.03.2020	639	16	118	5.065	0.127	0.935
-6	13.03.2020	701	19	118	5.557	0.151	0.935
-5	14.03.2020	773	22	118	6.128	0.174	0.935
-4	15.03.2020	839	22	118	6.651	0.174	0.935
-3	16.03.2020	825	27	144	6.540	0.214	1.141
-2	17.03.2020	878	29	144	6.960	0.230	1.141
-1	18.03.2020	889	29	144	7.047	0.230	1.141
0	19.03.2020	924	29	150	7.325	0.230	1.189
