Landkreis	Bundesland	Population	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	DoublingTime_Cases_Last_Week_Per_100000
Flensburg (Kreisfreie Stadt)	Schleswig-Holstein	90164	2525	39	28004	432	2.4	100.0	14.8
Kiel (Kreisfreie Stadt)	Schleswig-Holstein	246794	6118	105	24789	425	2.5	71.6	
Lübeck (Kreisfreie Stadt)	Schleswig-Holstein	216530	6190	100	28587	461	1.5	82.0	
Neumünster (Kreisfreie Stadt)	Schleswig-Holstein	80196	2059	23	25674	286	0.0	80.0	
Dithmarschen (Kreis)	Schleswig-Holstein	133193	2136	53	16036	397	0.0	97.4	
Herzogtum Lauenburg (Kreis)	Schleswig-Holstein	198019	5520	115	27876	580	0.0	72.2	22.5
Nordfriesland (Kreis)	Schleswig-Holstein	165951	2999	82	18071	494	0.0	68.0	
Ostholstein (Kreis)	Schleswig-Holstein	200539	3530	86	17602	428	2.2	78.3	
Pinneberg (Kreis)	Schleswig-Holstein	316103	11303	378	35757	1195	0.0	97.3	
Plön (Kreis)	Schleswig-Holstein	128686	1528	32	11873	248	8.3	50.0	
Rendsburg-Eckernförde (Kreis)	Schleswig-Holstein	274098	4353	58	15881	211	2.4	71.4	
Schleswig-Flensburg (Kreis)	Schleswig-Holstein	201156	3066	60	15241	298	0.0	87.5	
Segeberg (Kreis)	Schleswig-Holstein	277175	7315	161	26391	580	1.2	72.9	31.9
Steinburg (Kreis)	Schleswig-Holstein	131013	2525	41	19272	312	4.7	76.7	
Stormarn (Kreis)	Schleswig-Holstein	244156	7466	308	30578	1261	0.0	71.4	15.7
Regionalverband Saarbrücken (Landkreis)	Saarland	328714	16430	466	49982	1417	5.4	83.2	50.0
Merzig-Wadern (Landkreis)	Saarland	103243	3653	61	35382	590	16.7	75.0	
Neunkirchen (Landkreis)	Saarland	131408	5647	126	42973	958	0.0	86.1	
Saarlouis (Landkreis)	Saarland	194319	8884	151	45718	777	0.0	86.0	9.7
Saarpfalz-Kreis (Landkreis)	Saarland	142196	5065	113	35619	794	2.5	92.6	
