Date	Landkreise mit Neu-Infektionen in 7 Tagen
2020-01-04	0
2020-01-05	0
2020-01-06	0
2020-01-07	0
2020-01-08	0
2020-01-09	0
2020-01-10	0
2020-01-11	0
2020-01-12	0
2020-01-13	0
2020-01-14	0
2020-01-15	0
2020-01-16	0
2020-01-17	0
2020-01-18	0
2020-01-19	1
2020-01-20	1
2020-01-21	1
2020-01-22	1
2020-01-23	3
2020-01-24	3
2020-01-25	3
2020-01-26	2
2020-01-27	2
2020-01-28	4
2020-01-29	5
2020-01-30	3
2020-01-31	5
2020-02-01	6
2020-02-02	6
2020-02-03	7
2020-02-04	8
2020-02-05	7
2020-02-06	7
2020-02-07	6
2020-02-08	5
2020-02-09	5
2020-02-10	5
2020-02-11	3
2020-02-12	3
2020-02-13	2
2020-02-14	1
2020-02-15	1
2020-02-16	1
2020-02-17	2
2020-02-18	2
2020-02-19	2
2020-02-20	4
2020-02-21	4
2020-02-22	4
2020-02-23	4
2020-02-24	4
2020-02-25	6
2020-02-26	10
2020-02-27	12
2020-02-28	27
2020-02-29	32
2020-03-01	44
2020-03-02	57
2020-03-03	77
2020-03-04	101
2020-03-05	124
2020-03-06	137
2020-03-07	155
2020-03-08	165
2020-03-09	200
2020-03-10	252
2020-03-11	299
2020-03-12	340
2020-03-13	364
2020-03-14	375
2020-03-15	383
2020-03-16	393
2020-03-17	400
2020-03-18	405
2020-03-19	408
2020-03-20	410
2020-03-21	411
2020-03-22	411
2020-03-23	411
2020-03-24	411
2020-03-25	411
2020-03-26	411
2020-03-27	410
2020-03-28	410
2020-03-29	410
2020-03-30	411
2020-03-31	412
2020-04-01	412
2020-04-02	411
2020-04-03	412
2020-04-04	412
2020-04-05	412
2020-04-06	412
2020-04-07	412
2020-04-08	412
2020-04-09	412
2020-04-10	411
2020-04-11	412
2020-04-12	412
2020-04-13	409
2020-04-14	408
2020-04-15	409
2020-04-16	409
2020-04-17	406
2020-04-18	405
2020-04-19	403
2020-04-20	404
2020-04-21	405
2020-04-22	402
2020-04-23	403
2020-04-24	400
