LK_ID	LK_Name	LK_Typ	Population	BL_Code	BL_Name
01001	Flensburg	Kreisfreie Stadt	89934	SH	Schleswig-Holstein
01002	Kiel	Kreisfreie Stadt	246601	SH	Schleswig-Holstein
01003	Lübeck	Kreisfreie Stadt	215846	SH	Schleswig-Holstein
01004	Neumünster	Kreisfreie Stadt	79905	SH	Schleswig-Holstein
01051	Dithmarschen	Kreis	133251	SH	Schleswig-Holstein
01053	Herzogtum Lauenburg	Kreis	199152	SH	Schleswig-Holstein
01054	Nordfriesland	Kreis	167147	SH	Schleswig-Holstein
01055	Ostholstein	Kreis	201487	SH	Schleswig-Holstein
01056	Pinneberg	Kreis	317085	SH	Schleswig-Holstein
01057	Plön	Kreis	129353	SH	Schleswig-Holstein
01058	Rendsburg-Eckernförde	Kreis	274765	SH	Schleswig-Holstein
01059	Schleswig-Flensburg	Kreis	202647	SH	Schleswig-Holstein
01060	Segeberg	Kreis	278007	SH	Schleswig-Holstein
01061	Steinburg	Kreis	130706	SH	Schleswig-Holstein
01062	Stormarn	Kreis	244989	SH	Schleswig-Holstein
02000	Hamburg	Kreisfreie Stadt	1852478	HH	Hamburg
03101	Braunschweig	Kreisfreie Stadt	248561	NI	Niedersachsen
03102	Salzgitter	Kreisfreie Stadt	103866	NI	Niedersachsen
03103	Wolfsburg	Kreisfreie Stadt	123840	NI	Niedersachsen
03151	Gifhorn	Landkreis	177227	NI	Niedersachsen
03153	Goslar	Landkreis	134688	NI	Niedersachsen
03154	Helmstedt	Landkreis	91518	NI	Niedersachsen
03155	Northeim	Landkreis	131772	NI	Niedersachsen
03157	Peine	Landkreis	135844	NI	Niedersachsen
03158	Wolfenbüttel	Landkreis	119361	NI	Niedersachsen
03159	Göttingen	Landkreis	323900	NI	Niedersachsen
03241	Region Hannover	Landkreis	1155330	NI	Niedersachsen
03251	Diepholz	Landkreis	218072	NI	Niedersachsen
03252	Hameln-Pyrmont	Landkreis	148580	NI	Niedersachsen
03254	Hildesheim	Landkreis	275464	NI	Niedersachsen
03255	Holzminden	Landkreis	70207	NI	Niedersachsen
03256	Nienburg (Weser)	Landkreis	121645	NI	Niedersachsen
03257	Schaumburg	Landkreis	158406	NI	Niedersachsen
03351	Celle	Landkreis	179386	NI	Niedersachsen
03352	Cuxhaven	Landkreis	198826	NI	Niedersachsen
03353	Harburg	Landkreis	256016	NI	Niedersachsen
03354	Lüchow-Dannenberg	Landkreis	48503	NI	Niedersachsen
03355	Lüneburg	Landkreis	184235	NI	Niedersachsen
03356	Osterholz	Landkreis	114640	NI	Niedersachsen
03357	Rotenburg (Wümme)	Landkreis	164486	NI	Niedersachsen
03358	Heidekreis	Landkreis	140885	NI	Niedersachsen
03359	Stade	Landkreis	205357	NI	Niedersachsen
03360	Uelzen	Landkreis	92566	NI	Niedersachsen
03361	Verden	Landkreis	137574	NI	Niedersachsen
03401	Delmenhorst	Kreisfreie Stadt	77503	NI	Niedersachsen
03402	Emden	Kreisfreie Stadt	49874	NI	Niedersachsen
