Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	1064	599	56.3		
2020-04-23	1055	588	55.7		
2020-04-24	1055	604	57.3	51	4.8
2020-04-25	1055	608	57.6	51	4.8
2020-04-26	1047	558	53.3		
2020-04-27	1046	562	53.7	50	4.8
2020-04-28	1047	562	53.7	50	4.8
2020-04-29	1044	590	56.5	38	3.6
2020-04-30	1082	590	54.5	38	3.5
2020-05-01	1068	595	55.7	37	3.5
2020-05-02	1070	597	55.8	35	3.3
2020-05-03	1054	546	51.8	29	2.8
2020-05-04	1061	544	51.3	28	2.6
2020-05-05	1079	530	49.1	27	2.5
2020-05-06	1061	543	51.2	28	2.6
2020-05-07	1062	542	51.0	33	3.1
2020-05-08	1044	561	53.7	26	2.5
2020-05-09	1039	545	52.5	22	2.1
2020-05-10	1044	536	51.3	25	2.4
2020-05-11	1042	519	49.8	26	2.5
2020-05-12	1047	533	50.9	24	2.3
2020-05-13	1034	580	56.1	29	2.8
2020-05-14	1037	586	56.5	29	2.8
2020-05-15	1072	593	55.3	26	2.4
2020-05-16	1079	621	57.6	28	2.6
2020-05-17	1075	605	56.3	21	2.0
2020-05-18	1083	569	52.5	22	2.0
2020-05-19	1081	569	52.6	22	2.0
2020-05-20	1085	618	57.0	24	2.2
2020-05-21	1080	617	57.1	24	2.2
2020-05-22	1080	592	54.8	19	1.8
2020-05-23	1074	574	53.4	17	1.6
2020-05-24	1078	591	54.8	15	1.4
2020-05-25	1080	575	53.2	15	1.4
2020-05-26	1087	595	54.7	17	1.6
2020-05-27	1094	610	55.8	13	1.2
2020-05-28	1091	620	56.8	15	1.4
2020-05-29	1090	613	56.2	13	1.2
2020-05-30	1097	607	55.3	11	1.0
2020-05-31	1097	574	52.3	12	1.1
2020-06-01	1070	535	50.0	10	0.9
2020-06-02	1071	546	51.0	10	0.9
2020-06-03	1070	546	51.0	9	0.8
2020-06-04	1105	585	52.9	8	0.7
2020-06-05	1108	617	55.7	7	0.6
2020-06-06	1098	593	54.0	7	0.6
2020-06-07	1098	594	54.1	7	0.6
2020-06-08	1094	594	54.3	5	0.5
2020-06-09	1104	609	55.2	5	0.5
2020-06-11	1118	659	58.9	4	0.4
2020-06-12	1118	659	58.9	4	0.4
2020-06-13	1124	662	58.9	3	0.3
2020-06-14	1104	647	58.6	3	0.3
2020-06-15	1111	645	58.1	5	0.5
2020-06-16	1120	665	59.4	4	0.4
2020-06-17	1106	677	61.2	5	0.5
2020-06-18	1111	668	60.1	4	0.4
2020-06-19	1063	636	59.8	3	0.3
2020-06-20	1117	693	62.0	2	0.2
2020-06-21	1111	659	59.3	3	0.3
2020-06-22	1108	633	57.1	3	0.3
2020-06-23	1117	628	56.2	4	0.4
2020-06-24	1107	686	62.0	5	0.5
2020-06-25	1105	686	62.1	4	0.4
2020-06-26	1106	669	60.5	5	0.5
2020-06-27	1079	637	59.0	2	0.2
2020-06-28	1071	607	56.7	3	0.3
2020-06-29	1071	588	54.9	5	0.5
2020-06-30	1091	624	57.2	5	0.5
2020-07-01	1092	655	60.0	6	0.5
2020-07-02	1092	654	59.9	6	0.5
2020-07-03	1098	664	60.5	4	0.4
2020-07-04	1107	652	58.9	6	0.5
2020-07-05	1084	611	56.4	4	0.4
2020-07-06	1087	611	56.2	4	0.4
2020-07-07	1103	622	56.4	4	0.4
2020-07-08	1107	639	57.7	3	0.3
2020-07-09	1101	657	59.7	3	0.3
2020-07-10	1104	650	58.9	4	0.4
2020-07-11	1107	645	58.3	5	0.5
2020-07-12	1099	622	56.6	5	0.5
2020-07-13	1097	593	54.1	5	0.5
2020-07-14	1108	611	55.1	5	0.5
2020-07-15	1108	647	58.4	3	0.3
2020-07-16	1108	650	58.7	3	0.3
2020-07-17	1103	634	57.5	3	0.3
2020-07-18	1104	663	60.1	2	0.2
2020-07-19	1103	647	58.7	2	0.2
2020-07-20	1100	607	55.2	2	0.2
2020-07-21	1102	615	55.8	3	0.3
2020-07-22	1060	612	57.7	3	0.3
2020-07-23	1074	634	59.0	2	0.2
2020-07-24	1084	653	60.2	2	0.2
2020-07-25	1091	658	60.3	2	0.2
2020-07-26	1062	624	58.8	1	0.1
2020-07-27	1057	601	56.9	3	0.3
2020-07-28	1069	608	56.9	2	0.2
2020-07-29	1071	614	57.3	2	0.2
2020-07-30	1097	653	59.5	1	0.1
2020-07-31	1092	673	61.6	1	0.1
2020-08-01	1091	627	57.5	1	0.1
2020-08-02	1087	597	54.9	1	0.1
2020-08-03	1067	587	55.0	1	0.1
2020-08-04	1070	598	55.9	1	0.1
2020-08-05	1070	598	55.9	1	0.1
