Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	3635	2095	57.6		
2020-04-23	3827	2239	58.5		
2020-04-24	3839	2234	58.2	457	11.9
2020-04-25	3801	2205	58.0	448	11.8
2020-04-26	3828	2154	56.3		
2020-04-27	3790	2081	54.9	376	9.9
2020-04-28	3786	2080	54.9	376	9.9
2020-04-29	3717	2119	57.0	391	10.5
2020-04-30	3701	2088	56.4	389	10.5
2020-05-01	3723	2104	56.5	400	10.7
2020-05-02	3852	2193	56.9	395	10.3
2020-05-03	3813	2137	56.0	356	9.3
2020-05-04	3815	2183	57.2	359	9.4
2020-05-05	3671	2181	59.4	342	9.3
2020-05-06	3680	2206	59.9	315	8.6
2020-05-07	3696	2184	59.1	290	7.8
2020-05-08	3757	2216	59.0	284	7.6
2020-05-09	3748	2190	58.4	237	6.3
2020-05-10	3751	2157	57.5	233	6.2
2020-05-11	3750	2124	56.6	249	6.6
2020-05-12	3745	2119	56.6	258	6.9
2020-05-13	3708	2172	58.6	222	6.0
2020-05-14	3687	2215	60.1	209	5.7
2020-05-15	3723	2232	60.0	208	5.6
2020-05-16	3700	2272	61.4	207	5.6
2020-05-17	3684	2180	59.2	192	5.2
2020-05-18	3726	2187	58.7	191	5.1
2020-05-19	3688	2138	58.0	186	5.0
2020-05-20	3672	2255	61.4	169	4.6
2020-05-21	3670	2226	60.7	162	4.4
2020-05-22	3641	2164	59.4	163	4.5
2020-05-23	3665	2203	60.1	162	4.4
2020-05-24	3645	2149	59.0	150	4.1
2020-05-25	3659	2093	57.2	149	4.1
2020-05-26	3660	2103	57.5	140	3.8
2020-05-27	3648	2194	60.1	120	3.3
2020-05-28	3630	2171	59.8	111	3.1
2020-05-29	3629	2216	61.1	116	3.2
2020-05-30	3635	2237	61.5	120	3.3
2020-05-31	3681	2214	60.1	116	3.2
2020-06-01	3689	2128	57.7	111	3.0
2020-06-02	3691	2136	57.9	113	3.1
2020-06-03	3679	2179	59.2	108	2.9
2020-06-04	3660	2187	59.8	89	2.4
2020-06-05	3661	2223	60.7	86	2.3
2020-06-06	3678	2202	59.9	87	2.4
2020-06-07	3678	2199	59.8	85	2.3
2020-06-08	3631	2117	58.3	89	2.5
2020-06-09	3635	2168	59.6	87	2.4
2020-06-11	3624	2134	58.9	82	2.3
2020-06-12	3624	2134	58.9	82	2.3
2020-06-13	3617	2116	58.5	70	1.9
2020-06-14	3607	2121	58.8	75	2.1
2020-06-15	3622	2123	58.6	80	2.2
2020-06-16	3643	2150	59.0	69	1.9
2020-06-17	3641	2185	60.0	74	2.0
2020-06-18	3657	2230	61.0	70	1.9
2020-06-19	3658	2242	61.3	63	1.7
2020-06-20	3613	2201	60.9	59	1.6
2020-06-21	3652	2233	61.1	54	1.5
2020-06-22	3617	2149	59.4	62	1.7
2020-06-23	3648	2160	59.2	62	1.7
2020-06-24	3675	2192	59.6	61	1.7
2020-06-25	3668	2246	61.2	58	1.6
2020-06-26	3653	2237	61.2	59	1.6
2020-06-27	3688	2303	62.4	65	1.8
2020-06-28	3668	2256	61.5	62	1.7
2020-06-29	3648	2210	60.6	59	1.6
2020-06-30	3685	2223	60.3	54	1.5
2020-07-01	3673	2326	63.3	54	1.5
2020-07-02	3672	2319	63.2	54	1.5
2020-07-03	3650	2285	62.6	60	1.6
2020-07-04	3648	2267	62.1	57	1.6
2020-07-05	3653	2254	61.7	60	1.6
2020-07-06	3633	2202	60.6	52	1.4
2020-07-07	3700	2193	59.3	54	1.5
2020-07-08	3697	2245	60.7	54	1.5
2020-07-09	3711	2300	62.0	47	1.3
2020-07-10	3679	2239	60.9	49	1.3
2020-07-11	3703	2270	61.3	46	1.2
2020-07-12	3690	2227	60.4	41	1.1
2020-07-13	3606	2119	58.8	40	1.1
2020-07-14	3686	2147	58.2	45	1.2
2020-07-15	3685	2308	62.6	47	1.3
2020-07-16	3681	2285	62.1	46	1.2
2020-07-17	3691	2299	62.3	42	1.1
2020-07-18	3755	2347	62.5	42	1.1
2020-07-19	3733	2299	61.6	46	1.2
2020-07-20	3721	2228	59.9	47	1.3
2020-07-21	3752	2245	59.8	46	1.2
2020-07-22	3717	2288	61.6	50	1.3
2020-07-23	3749	2305	61.5	46	1.2
2020-07-24	3786	2334	61.6	47	1.2
2020-07-25	3791	2349	62.0	47	1.2
2020-07-26	3771	2320	61.5	51	1.4
2020-07-27	3770	2268	60.2	50	1.3
2020-07-28	3789	2260	59.6	46	1.2
2020-07-29	3813	2344	61.5	44	1.2
2020-07-30	3854	2417	62.7	45	1.2
2020-07-31	3873	2410	62.2	44	1.1
2020-08-01	3840	2428	63.2	48	1.2
2020-08-02	3872	2382	61.5	42	1.1
2020-08-03	3846	2280	59.3	44	1.1
2020-08-04	3885	2281	58.7	44	1.1
2020-08-05	3885	2281	58.7	44	1.1
