Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	4798	3061	63.8		
2020-04-23	6151	2970	48.3		
2020-04-24	4625	2988	64.6	681	14.7
2020-04-25	4558	2931	64.3	669	14.7
2020-04-26	4577	2902	63.4		
2020-04-27	4642	2887	62.2	645	13.9
2020-04-28	4807	2994	62.3	662	13.8
2020-04-29	4917	3139	63.8	602	12.2
2020-04-30	4744	3019	63.6	581	12.2
2020-05-01	4941	3114	63.0	551	11.2
2020-05-02	4935	3082	62.5	528	10.7
2020-05-03	4600	2812	61.1	471	10.2
2020-05-04	4586	2805	61.2	461	10.1
2020-05-05	4776	2966	62.1	468	9.8
2020-05-06	4762	2987	62.7	469	9.8
2020-05-07	4698	3006	64.0	459	9.8
2020-05-08	4764	3021	63.4	446	9.4
2020-05-09	4722	3012	63.8	413	8.7
2020-05-10	4617	2927	63.4	395	8.6
2020-05-11	4529	2827	62.4	383	8.5
2020-05-12	4693	2964	63.2	382	8.1
2020-05-13	4653	2943	63.2	363	7.8
2020-05-14	4632	2959	63.9	318	6.9
2020-05-15	4601	2946	64.0	317	6.9
2020-05-16	4646	2967	63.9	295	6.3
2020-05-17	4564	2853	62.5	288	6.3
2020-05-18	4448	2756	62.0	259	5.8
2020-05-19	4585	2889	63.0	277	6.0
2020-05-20	4751	3073	64.7	257	5.4
2020-05-21	4763	3086	64.8	247	5.2
2020-05-22	4537	2848	62.8	207	4.6
2020-05-23	4663	2909	62.4	212	4.5
2020-05-24	4722	3015	63.9	218	4.6
2020-05-25	4645	2909	62.6	210	4.5
2020-05-26	4750	2935	61.8	209	4.4
2020-05-27	4782	3116	65.2	193	4.0
2020-05-28	4791	3069	64.1	193	4.0
2020-05-29	4682	3022	64.5	183	3.9
2020-05-30	4716	3037	64.4	174	3.7
2020-05-31	4586	2935	64.0	168	3.7
2020-06-01	4562	2862	62.7	158	3.5
2020-06-02	4547	2841	62.5	155	3.4
2020-06-03	4679	2941	62.9	168	3.6
2020-06-04	4663	3036	65.1	156	3.3
2020-06-05	4656	3070	65.9	139	3.0
2020-06-06	4682	3071	65.6	119	2.5
2020-06-07	4575	3020	66.0	117	2.6
2020-06-08	4485	2826	63.0	113	2.5
2020-06-09	4628	2935	63.4	110	2.4
2020-06-11	4714	3055	64.8	96	2.0
2020-06-12	4714	3055	64.8	96	2.0
2020-06-13	4662	2884	61.9	86	1.8
2020-06-14	4616	2881	62.4	82	1.8
2020-06-15	4520	2808	62.1	85	1.9
2020-06-16	4706	2909	61.8	89	1.9
2020-06-17	4701	3034	64.5	79	1.7
2020-06-18	4674	3116	66.7	69	1.5
2020-06-19	4635	3146	67.9	66	1.4
2020-06-20	4527	3020	66.7	59	1.3
2020-06-21	4646	3052	65.7	52	1.1
2020-06-22	4456	2830	63.5	49	1.1
2020-06-23	4626	2995	64.7	50	1.1
2020-06-24	4656	3112	66.8	51	1.1
2020-06-25	4669	3081	66.0	51	1.1
2020-06-26	4673	3128	66.9	50	1.1
2020-06-27	4643	3107	66.9	50	1.1
2020-06-28	4601	3060	66.5	46	1.0
2020-06-29	4275	2829	66.2	36	0.8
2020-06-30	4578	2951	64.5	44	1.0
2020-07-01	4656	3103	66.6	50	1.1
2020-07-02	4613	3126	67.8	49	1.1
2020-07-03	4605	3149	68.4	42	0.9
2020-07-04	4624	3175	68.7	37	0.8
2020-07-05	4590	3058	66.6	40	0.9
2020-07-06	4321	2772	64.2	31	0.7
2020-07-07	4499	2916	64.8	33	0.7
2020-07-08	4402	2920	66.3	31	0.7
2020-07-09	4381	2941	67.1	33	0.8
2020-07-10	4372	2992	68.4	30	0.7
2020-07-11	4519	3121	69.1	32	0.7
2020-07-12	4455	3068	68.9	29	0.7
2020-07-13	4114	2697	65.6	24	0.6
2020-07-14	4442	2911	65.5	34	0.8
2020-07-15	4510	3124	69.3	32	0.7
2020-07-16	4564	3145	68.9	31	0.7
2020-07-17	4568	3158	69.1	31	0.7
2020-07-18	4542	3160	69.6	25	0.6
2020-07-19	4495	3083	68.6	24	0.5
2020-07-20	4316	2880	66.7	26	0.6
2020-07-21	4519	3044	67.4	30	0.7
2020-07-22	4561	3131	68.6	25	0.5
2020-07-23	4464	3156	70.7	29	0.6
2020-07-24	4623	3290	71.2	24	0.5
2020-07-25	4585	3222	70.3	24	0.5
2020-07-26	4543	3173	69.8	28	0.6
2020-07-27	4353	2959	68.0	32	0.7
2020-07-28	4453	2995	67.3	31	0.7
2020-07-29	4344	3027	69.7	30	0.7
2020-07-30	4591	3204	69.8	36	0.8
2020-07-31	4616	3176	68.8	35	0.8
2020-08-01	4640	3205	69.1	30	0.6
2020-08-02	4570	3101	67.9	28	0.6
2020-08-03	4471	2971	66.5	33	0.7
2020-08-04	4639	3060	66.0	35	0.8
2020-08-05	4352	2881	66.2	35	0.8
