bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,4,2,2,7,34,2021-03-25 12:15:00,33,2
01,01002,5,10,7,3,47,119,2021-03-25 12:15:00,118,42
01,01003,2,6,4,2,20,116,2021-03-25 12:15:00,116,20
01,01004,1,1,0,1,4,21,2021-03-25 12:15:00,21,4
01,01051,1,0,0,1,2,36,2021-03-25 12:15:00,36,2
01,01053,2,2,2,2,3,15,2021-03-25 12:15:00,15,3
01,01054,3,0,0,3,9,18,2021-03-25 12:15:00,18,9
01,01055,3,3,0,3,16,32,2021-03-25 12:15:00,32,16
01,01056,2,3,1,2,0,38,2021-03-25 12:15:00,38,0
01,01057,1,1,1,1,4,8,2021-03-25 12:15:00,8,4
01,01058,5,7,4,3,10,32,2021-03-25 12:15:00,29,7
01,01059,1,1,1,1,3,21,2021-03-25 12:15:00,21,3
01,01060,4,2,1,4,29,65,2021-03-25 12:15:00,65,29
01,01061,3,2,1,1,12,33,2021-03-25 12:15:00,24,8
01,01062,3,0,0,3,4,30,2021-03-25 12:15:00,30,4
02,02000,34,86,55,24,110,572,2021-03-25 12:15:00,499,73
03,03101,7,4,1,5,17,115,2021-03-25 12:15:00,102,13
03,03102,2,3,2,2,5,24,2021-03-25 12:15:00,24,5
03,03103,3,5,2,1,4,31,2021-03-25 12:15:00,25,1
03,03151,1,2,0,1,0,12,2021-03-25 12:15:00,12,0
03,03153,3,2,2,3,5,32,2021-03-25 12:15:00,32,5
03,03154,1,2,2,1,2,16,2021-03-25 12:15:00,16,2
03,03155,2,1,1,2,6,14,2021-03-25 12:15:00,14,6
03,03157,1,3,1,1,0,18,2021-03-25 12:15:00,18,0
03,03158,1,1,1,1,4,12,2021-03-25 12:15:00,12,4
03,03159,8,19,11,7,25,125,2021-03-25 12:15:00,111,19
03,03241,19,60,33,16,32,372,2021-03-25 12:15:00,328,29
03,03251,3,4,2,3,3,14,2021-03-25 12:15:00,14,3
03,03252,6,4,3,4,15,59,2021-03-25 12:15:00,59,9
03,03254,7,5,2,4,14,62,2021-03-25 12:15:00,55,11
03,03255,1,0,0,1,3,8,2021-03-25 12:15:00,8,3
03,03256,1,1,1,1,4,20,2021-03-25 12:15:00,20,4
03,03257,1,2,0,1,2,23,2021-03-25 12:15:00,23,2
03,03351,2,8,5,1,4,26,2021-03-25 12:15:00,22,1
