bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,4,3,2,11,31,2021-05-02 12:15:00,29,7
01,01002,5,6,6,3,52,114,2021-05-02 12:15:00,111,49
01,01003,2,7,1,2,22,113,2021-05-02 12:15:00,113,22
01,01004,1,0,0,1,3,22,2021-05-02 12:15:00,22,3
01,01051,1,2,1,1,1,37,2021-05-02 12:15:00,37,1
01,01053,2,2,1,2,3,13,2021-05-02 12:15:00,13,3
01,01054,3,1,0,3,8,16,2021-05-02 12:15:00,16,8
01,01055,3,3,0,3,12,39,2021-05-02 12:15:00,39,12
01,01056,2,3,2,2,2,34,2021-05-02 12:15:00,34,2
01,01057,1,0,0,1,4,8,2021-05-02 12:15:00,8,4
01,01058,5,4,1,3,13,29,2021-05-02 12:15:00,26,10
01,01059,1,0,0,1,5,19,2021-05-02 12:15:00,19,5
01,01060,4,5,4,4,34,56,2021-05-02 12:15:00,56,34
01,01061,3,5,3,1,13,30,2021-05-02 12:15:00,24,6
01,01062,3,6,5,3,6,24,2021-05-02 12:15:00,24,6
02,02000,34,110,67,24,101,524,2021-05-02 12:15:00,456,61
03,03101,7,20,12,5,28,102,2021-05-02 12:15:00,91,22
03,03102,2,6,5,2,4,25,2021-05-02 12:15:00,25,4
03,03103,3,7,7,1,10,29,2021-05-02 12:15:00,24,6
03,03151,1,5,2,1,2,10,2021-05-02 12:15:00,10,2
03,03153,3,4,3,3,5,24,2021-05-02 12:15:00,24,5
03,03154,1,7,6,1,1,17,2021-05-02 12:15:00,17,1
03,03155,2,2,2,2,4,15,2021-05-02 12:15:00,15,4
03,03157,1,3,2,1,4,14,2021-05-02 12:15:00,14,4
03,03158,1,2,2,1,3,13,2021-05-02 12:15:00,13,3
03,03159,8,33,24,7,31,126,2021-05-02 12:15:00,111,24
03,03241,19,57,38,16,30,342,2021-05-02 12:15:00,307,19
03,03251,3,0,0,3,5,12,2021-05-02 12:15:00,12,5
03,03252,6,4,4,4,11,60,2021-05-02 12:15:00,59,7
03,03254,7,5,3,4,15,59,2021-05-02 12:15:00,54,10
03,03255,1,1,0,1,7,4,2021-05-02 12:15:00,4,7
03,03256,1,4,2,1,2,18,2021-05-02 12:15:00,18,2
03,03257,1,6,4,1,0,22,2021-05-02 12:15:00,22,0
03,03351,2,7,4,1,1,28,2021-05-02 12:15:00,21,0
03,03352,2,1,1,2,2,10,2021-05-02 12:15:00,10,2
03,03353,3,5,4,3,5,29,2021-05-02 12:15:00,29,5
03,03354,1,2,1,1,0,4,2021-05-02 12:15:00,4,0
03,03355,3,5,3,1,3,37,2021-05-02 12:15:00,21,3
03,03356,3,3,2,2,2,12,2021-05-02 12:15:00,12,2
03,03357,3,5,0,2,5,27,2021-05-02 12:15:00,25,3
03,03358,2,1,0,2,3,15,2021-05-02 12:15:00,15,3
03,03359,3,3,2,2,8,27,2021-05-02 12:15:00,27,5
