Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_beatmet	faelle_covid_aktuell_beatmet_proz
2020-11-13	46	33	71.7	10	21.7	7	70.0
2021-07-30	46	25	54.3	0	0.0	0	0
2020-05-25	65	30	46.2	1	1.5	1	100.0
2020-07-06	69	26	37.7	0	0.0	0	0
2020-11-20	46	38	82.6	13	28.3	6	46.2
2020-06-09	61	32	52.5	1	1.6	1	100.0
2020-06-10	62	29	46.8	0	0.0	0	0
2020-08-03	72	30	41.7	0	0.0	0	0
2020-07-21	65	31	47.7	0	0.0	0	0
2020-08-28	73	32	43.8	1	1.4	1	100.0
2020-08-30	73	30	41.1	1	1.4	1	100.0
2021-04-23	46	32	69.6	11	23.9	6	54.5
2021-02-28	46	40	87.0	6	13.0	2	33.3
2020-10-16	71	35	49.3	0	0.0	0	0
2020-12-05	48	40	83.3	12	25.0	7	58.3
2021-05-30	46	36	78.3	3	6.5	0	0.0
2021-08-14	46	32	69.6	0	0.0	0	0
2021-03-25	48	40	83.3	7	14.6	5	71.4
2020-07-10	65	25	38.5	1	1.5	0	0.0
2020-06-29	68	27	39.7	1	1.5	0	0.0
2020-12-24	48	38	79.2	12	25.0	7	58.3
2021-08-01	46	28	60.9	1	2.2	0	0.0
2020-10-05	73	39	53.4	1	1.4	1	100.0
2020-08-21	73	32	43.8	1	1.4	1	100.0
2020-08-17	73	33	45.2	1	1.4	1	100.0
2020-10-28	47	37	78.7	2	4.3	1	50.0
2020-06-16	55	35	63.6	0	0.0	0	0
2021-05-06	46	38	82.6	14	30.4	11	78.6
2020-06-07	62	34	54.8	0	0.0	0	0
2021-02-06	44	38	86.4	13	29.5	7	53.8
2021-07-23	46	36	78.3	0	0.0	0	0
2020-10-03	73	36	49.3	1	1.4	1	100.0
2020-09-29	73	34	46.6	1	1.4	1	100.0
2021-05-28	46	43	93.5	4	8.7	1	25.0
2021-06-11	46	32	69.6	2	4.3	1	50.0
2021-02-10	42	36	85.7	13	31.0	8	61.5
2020-12-12	48	38	79.2	10	20.8	6	60.0
2020-10-01	73	47	64.4	1	1.4	1	100.0
2021-07-06	48	33	68.8	0	0.0	0	0
2021-03-05	46	42	91.3	4	8.7	1	25.0
2020-05-29	55	27	49.1	1	1.8	0	0.0
2021-07-15	48	38	79.2	0	0.0	0	0
2020-11-10	46	31	67.4	10	21.7	7	70.0
2021-03-01	46	40	87.0	6	13.0	2	33.3
2021-04-11	46	35	76.1	9	19.6	4	44.4
2021-08-05	46	32	69.6	1	2.2	0	0.0
2021-07-22	46	31	67.4	0	0.0	0	0
2021-03-15	48	42	87.5	6	12.5	2	33.3
2021-02-27	46	37	80.4	7	15.2	3	42.9
2020-11-23	46	31	67.4	10	21.7	7	70.0
2021-05-23	46	38	82.6	7	15.2	2	28.6
2020-09-06	73	34	46.6	0	0.0	0	0
2021-03-17	48	39	81.2	6	12.5	3	50.0
2020-11-25	46	31	67.4	10	21.7	8	80.0
2020-11-22	46	33	71.7	12	26.1	7	58.3
2021-04-21	46	35	76.1	13	28.3	6	46.2
2021-07-20	46	43	93.5	0	0.0	0	0
2021-05-26	46	34	73.9	5	10.9	2	40.0
2020-10-09	71	36	50.7	1	1.4	0	0.0
2020-07-03	73	35	47.9	0	0.0	0	0
2020-10-08	71	34	47.9	1	1.4	1	100.0
2021-08-16	46	32	69.6	1	2.2	0	0.0
2021-05-07	46	41	89.1	12	26.1	10	83.3
2020-09-28	73	38	52.1	1	1.4	1	100.0
2021-04-27	46	39	84.8	14	30.4	6	42.9
2020-05-05	62	31	50.0	0	0.0	0	0
2020-12-23	48	33	68.8	12	25.0	6	50.0
2021-01-25	46	41	89.1	12	26.1	7	58.3
2020-06-19	62	30	48.4	0	0.0	0	0
2020-06-23	10	5	50.0	0	0.0	0	0
2020-05-14	62	20	32.3	1	1.6	1	100.0
2020-07-30	72	27	37.5	0	0.0	0	0
2020-09-19	73	40	54.8	1	1.4	0	0.0
2021-05-21	46	38	82.6	8	17.4	2	25.0
2020-12-06	48	38	79.2	11	22.9	5	45.5
2021-04-25	44	36	81.8	13	29.5	7	53.8
2020-12-15	48	36	75.0	13	27.1	7	53.8
2021-08-29	46	36	78.3	2	4.3	0	0.0
2020-10-19	73	33	45.2	0	0.0	0	0
2021-04-08	46	37	80.4	10	21.7	4	40.0
2020-05-07	62	25	40.3	1	1.6	0	0.0
2021-02-14	44	35	79.5	8	18.2	5	62.5
2020-12-01	48	31	64.6	8	16.7	3	37.5
2021-03-02	46	36	78.3	6	13.0	2	33.3
2021-01-18	46	42	91.3	14	30.4	7	50.0
2020-05-30	55	24	43.6	1	1.8	0	0.0
2021-01-13	48	39	81.2	10	20.8	8	80.0
2021-04-05	46	39	84.8	9	19.6	5	55.6
2020-05-03	62	37	59.7	2	3.2	1	50.0
2020-12-09	48	38	79.2	7	14.6	6	85.7
2020-11-15	46	28	60.9	7	15.2	5	71.4
2020-10-07	71	36	50.7	1	1.4	1	100.0
2020-07-18	65	26	40.0	0	0.0	0	0
2020-06-28	71	30	42.3	1	1.4	0	0.0
2021-07-28	46	31	67.4	0	0.0	0	0
2020-11-26	46	38	82.6	11	23.9	7	63.6
2021-05-13	46	39	84.8	14	30.4	11	78.6
2021-04-06	46	34	73.9	7	15.2	4	57.1
2020-05-22	62	33	53.2	0	0.0	0	0
2020-05-28	62	30	48.4	0	0.0	0	0
2021-05-11	46	40	87.0	15	32.6	8	53.3
