Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_invasiv_beatmet	faelle_covid_aktuell_beatmet_proz
2020-04-24	14	8	57.1	0	0.0	0	0
2020-04-25	13	6	46.2	0	0.0	0	0
2020-04-26	15	7	46.7	0	0.0	0	0
2020-04-27	15	5	33.3	0	0.0	0	0
2020-04-28	14	9	64.3	0	0.0	0	0
2020-04-29	15	8	53.3	0	0.0	0	0
2020-04-30	14	5	35.7	0	0.0	0	0
2020-05-01	14	3	21.4	0	0.0	0	0
2020-05-02	15	5	33.3	0	0.0	0	0
2020-05-03	15	5	33.3	0	0.0	0	0
2020-05-04	15	3	20.0	0	0.0	0	0
2020-05-05	15	7	46.7	0	0.0	0	0
2020-05-06	14	9	64.3	1	7.1	0	0.0
2020-05-07	15	8	53.3	1	6.7	0	0.0
2020-05-08	15	9	60.0	0	0.0	0	0
2020-05-09	15	4	26.7	0	0.0	0	0
2020-05-10	15	4	26.7	0	0.0	0	0
2020-05-11	13	6	46.2	0	0.0	0	0
2020-05-12	15	9	60.0	0	0.0	0	0
2020-05-13	14	11	78.6	1	7.1	0	0.0
2020-05-14	14	8	57.1	0	0.0	0	0
2020-05-15	14	5	35.7	0	0.0	0	0
2020-05-16	14	6	42.9	0	0.0	0	0
2020-05-17	13	4	30.8	0	0.0	0	0
2020-05-18	15	9	60.0	1	6.7	0	0.0
2020-05-19	15	8	53.3	1	6.7	0	0.0
2020-05-20	15	6	40.0	1	6.7	0	0.0
2020-05-21	14	4	28.6	0	0.0	0	0
2020-05-22	14	5	35.7	0	0.0	0	0
2020-05-23	14	6	42.9	0	0.0	0	0
2020-05-24	14	5	35.7	0	0.0	0	0
2020-05-25	15	5	33.3	0	0.0	0	0
2020-05-26	14	8	57.1	0	0.0	0	0
2020-05-27	16	10	62.5	0	0.0	0	0
2020-05-28	16	9	56.2	0	0.0	0	0
2020-05-29	14	9	64.3	0	0.0	0	0
2020-05-30	14	9	64.3	0	0.0	0	0
2020-05-31	14	8	57.1	0	0.0	0	0
2020-06-01	16	7	43.8	0	0.0	0	0
2020-06-02	15	10	66.7	0	0.0	0	0
2020-06-03	15	8	53.3	0	0.0	0	0
2020-06-04	14	8	57.1	0	0.0	0	0
2020-06-05	14	10	71.4	0	0.0	0	0
2020-06-06	14	10	71.4	0	0.0	0	0
2020-06-07	15	10	66.7	0	0.0	0	0
2020-06-08	14	9	64.3	0	0.0	0	0
2020-06-09	15	11	73.3	0	0.0	0	0
2020-06-10	14	8	57.1	0	0.0	0	0
2020-06-11	14	6	42.9	0	0.0	0	0
2020-06-12	14	5	35.7	0	0.0	0	0
2020-06-13	15	8	53.3	0	0.0	0	0
2020-06-14	15	7	46.7	0	0.0	0	0
2020-06-15	16	9	56.2	0	0.0	0	0
2020-06-16	17	9	52.9	0	0.0	0	0
2020-06-17	16	10	62.5	0	0.0	0	0
2020-06-18	15	8	53.3	0	0.0	0	0
2020-06-19	20	13	65.0	0	0.0	0	0
2020-06-20	19	12	63.2	0	0.0	0	0
2020-06-21	19	12	63.2	0	0.0	0	0
2020-06-22	20	12	60.0	0	0.0	0	0
2020-06-23	21	11	52.4	0	0.0	0	0
2020-06-24	18	13	72.2	0	0.0	0	0
2020-06-25	20	12	60.0	0	0.0	0	0
2020-06-26	20	13	65.0	0	0.0	0	0
2020-06-27	19	11	57.9	0	0.0	0	0
2020-06-28	22	10	45.5	0	0.0	0	0
2020-06-29	21	8	38.1	0	0.0	0	0
2020-06-30	20	6	30.0	0	0.0	0	0
2020-07-01	20	8	40.0	0	0.0	0	0
2020-07-02	21	7	33.3	0	0.0	0	0
2020-07-03	19	11	57.9	0	0.0	0	0
2020-07-04	18	11	61.1	0	0.0	0	0
2020-07-05	20	12	60.0	0	0.0	0	0
2020-07-06	20	11	55.0	0	0.0	0	0
2020-07-07	19	11	57.9	0	0.0	0	0
2020-07-08	20	11	55.0	0	0.0	0	0
2020-07-09	19	10	52.6	0	0.0	0	0
2020-07-10	21	10	47.6	0	0.0	0	0
2020-07-11	19	7	36.8	0	0.0	0	0
2020-07-12	22	8	36.4	0	0.0	0	0
2020-07-13	22	8	36.4	0	0.0	0	0
2020-07-14	21	10	47.6	0	0.0	0	0
2020-07-15	19	9	47.4	0	0.0	0	0
2020-07-16	21	9	42.9	0	0.0	0	0
2020-07-17	20	10	50.0	0	0.0	0	0
2020-07-18	22	11	50.0	0	0.0	0	0
2020-07-19	22	12	54.5	0	0.0	0	0
2020-07-20	21	10	47.6	0	0.0	0	0
2020-07-21	21	11	52.4	0	0.0	0	0
2020-07-22	21	10	47.6	0	0.0	0	0
2020-07-23	21	13	61.9	0	0.0	0	0
2020-07-24	20	10	50.0	0	0.0	0	0
2020-07-25	24	7	29.2	0	0.0	0	0
2020-07-26	20	11	55.0	0	0.0	0	0
2020-07-27	20	11	55.0	0	0.0	0	0
2020-07-28	19	11	57.9	0	0.0	0	0
2020-07-29	20	11	55.0	0	0.0	0	0
2020-07-30	19	9	47.4	0	0.0	0	0
2020-07-31	20	10	50.0	0	0.0	0	0
2020-08-01	20	9	45.0	0	0.0	0	0
2020-08-02	20	9	45.0	0	0.0	0	0
2020-08-03	21	12	57.1	0	0.0	0	0
2020-08-04	16	9	56.2	0	0.0	0	0
2020-08-05	14	10	71.4	0	0.0	0	0
2020-08-06	14	12	85.7	0	0.0	0	0
2020-08-07	14	10	71.4	0	0.0	0	0
2020-08-08	14	9	64.3	0	0.0	0	0
2020-08-09	14	9	64.3	0	0.0	0	0
2020-08-10	14	5	35.7	0	0.0	0	0
2020-08-11	14	8	57.1	0	0.0	0	0
2020-08-12	14	12	85.7	0	0.0	0	0
2020-08-13	14	12	85.7	0	0.0	0	0
2020-08-14	14	12	85.7	0	0.0	0	0
2020-08-15	15	14	93.3	0	0.0	0	0
2020-08-16	14	10	71.4	0	0.0	0	0
2020-08-17	14	12	85.7	0	0.0	0	0
2020-08-18	14	9	64.3	0	0.0	0	0
2020-08-19	14	10	71.4	0	0.0	0	0
2020-08-20	14	8	57.1	0	0.0	0	0
2020-08-21	14	11	78.6	0	0.0	0	0
2020-08-22	14	11	78.6	0	0.0	0	0
2020-08-23	14	7	50.0	0	0.0	0	0
2020-08-24	14	7	50.0	0	0.0	0	0
2020-08-25	14	6	42.9	0	0.0	0	0
2020-08-26	14	8	57.1	0	0.0	0	0
2020-08-27	14	7	50.0	0	0.0	0	0
2020-08-28	14	10	71.4	0	0.0	0	0
2020-08-29	14	10	71.4	0	0.0	0	0
2020-08-30	14	8	57.1	0	0.0	0	0
2020-08-31	14	10	71.4	0	0.0	0	0
2020-09-01	14	10	71.4	0	0.0	0	0
2020-09-02	14	13	92.9	0	0.0	0	0
2020-09-03	14	13	92.9	0	0.0	0	0
2020-09-04	14	12	85.7	0	0.0	0	0
2020-09-05	15	11	73.3	0	0.0	0	0
2020-09-06	15	10	66.7	0	0.0	0	0
2020-09-07	15	12	80.0	0	0.0	0	0
2020-09-08	15	10	66.7	0	0.0	0	0
2020-09-09	15	9	60.0	0	0.0	0	0
2020-09-10	16	9	56.2	0	0.0	0	0
2020-09-11	16	14	87.5	0	0.0	0	0
2020-09-12	16	12	75.0	0	0.0	0	0
2020-09-13	16	12	75.0	0	0.0	0	0
2020-09-14	16	8	50.0	0	0.0	0	0
2020-09-15	16	10	62.5	0	0.0	0	0
2020-09-16	16	10	62.5	0	0.0	0	0
2020-09-17	16	10	62.5	0	0.0	0	0
2020-09-18	16	9	56.2	0	0.0	0	0
2020-09-19	16	6	37.5	0	0.0	0	0
2020-09-20	16	5	31.2	0	0.0	0	0
2020-09-21	16	9	56.2	0	0.0	0	0
2020-09-22	16	15	93.8	0	0.0	0	0
2020-09-23	16	9	56.2	0	0.0	0	0
2020-09-24	16	10	62.5	0	0.0	0	0
2020-09-25	16	10	62.5	0	0.0	0	0
2020-09-26	16	10	62.5	0	0.0	0	0
2020-09-27	16	11	68.8	0	0.0	0	0
2020-09-28	16	7	43.8	0	0.0	0	0
2020-09-29	16	6	37.5	0	0.0	0	0
2020-09-30	16	8	50.0	0	0.0	0	0
2020-10-01	16	9	56.2	0	0.0	0	0
2020-10-02	16	9	56.2	0	0.0	0	0
2020-10-03	16	7	43.8	0	0.0	0	0
2020-10-04	16	7	43.8	0	0.0	0	0
2020-10-05	16	5	31.2	0	0.0	0	0
2020-10-06	16	7	43.8	0	0.0	0	0
2020-10-07	16	9	56.2	0	0.0	0	0
2020-10-08	16	11	68.8	0	0.0	0	0
2020-10-09	16	13	81.2	0	0.0	0	0
2020-10-10	16	10	62.5	0	0.0	0	0
2020-10-11	16	10	62.5	0	0.0	0	0
2020-10-12	16	10	62.5	0	0.0	0	0
2020-10-13	16	10	62.5	0	0.0	0	0
2020-10-14	16	8	50.0	0	0.0	0	0
2020-10-15	16	8	50.0	0	0.0	0	0
2020-10-16	16	7	43.8	0	0.0	0	0
2020-10-17	16	8	50.0	0	0.0	0	0
2020-10-18	16	8	50.0	0	0.0	0	0
2020-10-19	16	8	50.0	0	0.0	0	0
2020-10-20	16	10	62.5	0	0.0	0	0
2020-10-21	16	11	68.8	0	0.0	0	0
2020-10-22	16	6	37.5	0	0.0	0	0
2020-10-23	16	7	43.8	0	0.0	0	0
2020-10-24	16	8	50.0	0	0.0	0	0
2020-10-25	16	9	56.2	0	0.0	0	0
2020-10-26	16	9	56.2	2	12.5	0	0.0
2020-10-27	16	8	50.0	1	6.2	0	0.0
2020-10-28	16	8	50.0	1	6.2	0	0.0
2020-10-29	16	9	56.2	2	12.5	0	0.0
2020-10-30	16	10	62.5	2	12.5	0	0.0
2020-10-31	16	10	62.5	2	12.5	0	0.0
2020-11-01	16	8	50.0	2	12.5	0	0.0
2020-11-02	16	10	62.5	2	12.5	0	0.0
2020-11-03	16	7	43.8	2	12.5	0	0.0
2020-11-04	16	6	37.5	2	12.5	0	0.0
2020-11-05	16	6	37.5	2	12.5	0	0.0
2020-11-06	16	7	43.8	2	12.5	0	0.0
2020-11-07	16	12	75.0	1	6.2	0	0.0
2020-11-08	16	11	68.8	1	6.2	0	0.0
2020-11-09	16	7	43.8	1	6.2	0	0.0
2020-11-10	16	9	56.2	1	6.2	0	0.0
2020-11-11	16	8	50.0	0	0.0	0	0
2020-11-12	16	7	43.8	0	0.0	0	0
2020-11-13	16	9	56.2	0	0.0	0	0
2020-11-14	16	11	68.8	1	6.2	1	100.0
2020-11-15	16	11	68.8	1	6.2	1	100.0
2020-11-16	16	8	50.0	0	0.0	0	0
2020-11-17	16	4	25.0	0	0.0	0	0
2020-11-18	13	8	61.5	1	7.7	0	0.0
2020-11-19	13	9	69.2	1	7.7	0	0.0
2020-11-20	13	7	53.8	1	7.7	0	0.0
2020-11-21	13	6	46.2	1	7.7	0	0.0
2020-11-22	13	7	53.8	1	7.7	0	0.0
2020-11-23	13	7	53.8	1	7.7	0	0.0
2020-11-24	14	3	21.4	1	7.1	0	0.0
2020-11-25	14	7	50.0	1	7.1	0	0.0
2020-11-26	14	7	50.0	1	7.1	0	0.0
2020-11-27	14	8	57.1	1	7.1	0	0.0
2020-11-28	14	6	42.9	1	7.1	0	0.0
2020-11-29	14	7	50.0	1	7.1	0	0.0
2020-11-30	14	7	50.0	2	14.3	0	0.0
2020-12-01	15	9	60.0	2	13.3	0	0.0
2020-12-02	14	9	64.3	3	21.4	0	0.0
2020-12-03	14	10	71.4	3	21.4	1	33.3
2020-12-04	14	11	78.6	3	21.4	1	33.3
2020-12-05	14	10	71.4	3	21.4	1	33.3
2020-12-06	14	11	78.6	3	21.4	1	33.3
2020-12-07	14	11	78.6	3	21.4	1	33.3
2020-12-08	14	11	78.6	2	14.3	1	50.0
2020-12-09	14	8	57.1	2	14.3	1	50.0
2020-12-10	14	10	71.4	2	14.3	1	50.0
2020-12-11	14	11	78.6	2	14.3	1	50.0
2020-12-12	14	11	78.6	1	7.1	1	100.0
2020-12-13	16	13	81.2	1	6.2	1	100.0
2020-12-14	15	12	80.0	1	6.7	1	100.0
2020-12-15	15	10	66.7	2	13.3	2	100.0
2020-12-16	15	12	80.0	2	13.3	2	100.0
2020-12-17	15	10	66.7	3	20.0	2	66.7
