Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Last_Week_Per_100000	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	Cases_Last_Week_Doubling_Time
-505	2020-02-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-504	2020-02-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-503	2020-03-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-502	2020-03-02	1	0	1	0	0	0	0	0	0	0.0	0	0.0	0.0			
-501	2020-03-03	3	0	2	0	0	0	0	0	0	0.0	0	0.0	0.0			
-500	2020-03-04	7	0	4	0	0	0	1	0	1	0.0	0	0.0	0.0			
-499	2020-03-05	13	0	6	0	0	0	3	0	1	0.0	0	0.0	0.0			
-498	2020-03-06	19	0	6	0	19	0	5	0	1	0.0	5	0.0	0.5			
-497	2020-03-07	28	0	9	0	28	0	7	0	2	0.0	7	0.0	0.7			
-496	2020-03-08	40	0	12	0	40	0	10	0	3	0.0	10	0.0	1.0			
-495	2020-03-09	48	0	8	0	47	0	13	0	2	0.0	12	0.0	1.2			
-494	2020-03-10	48	0	0	0	45	0	13	0	0	0.0	12	0.0	1.2			
-493	2020-03-11	90	0	42	0	83	0	24	0	11	0.0	22	0.0	2.2			
-492	2020-03-12	137	0	47	0	124	0	37	0	12	0.0	34	0.0	3.4			
-491	2020-03-13	174	0	37	0	155	0	47	0	10	0.0	42	0.0	4.2			
-490	2020-03-14	216	0	42	0	188	0	59	0	11	0.0	51	0.0	5.1			
-489	2020-03-15	265	0	49	0	225	0	72	0	13	0.0	61	0.0	6.1			
-488	2020-03-16	300	0	35	0	252	0	82	0	9	0.0	69	0.0	6.9			
-487	2020-03-17	345	0	45	0	297	0	94	0	12	0.0	81	0.0	8.1			
-486	2020-03-18	391	0	46	0	301	0	107	0	12	0.0	82	0.0	8.2			
-485	2020-03-19	573	0	182	0	436	0	157	0	49	0.0	119	0.0	11.9			
-484	2020-03-20	731	0	158	0	557	0	200	0	43	0.0	152	0.0	15.2			
-483	2020-03-21	866	1	135	1	650	1	237	0	37	0.274	178	0.27	17.8			
-482	2020-03-22	1024	1	158	0	759	1	280	0	43	0.0	208	0.27	20.8			
-481	2020-03-23	1077	1	53	0	777	1	295	0	14	0.0	213	0.27	21.3			
-480	2020-03-24	1220	1	143	0	875	1	334	0	39	0.0	240	0.27	24.0			
-479	2020-03-25	1428	2	208	1	1037	2	391	0	57	0.274	284	0.55	28.4			
-478	2020-03-26	1656	4	228	2	1083	4	454	1	62	0.549	297	1.1	29.7			
-477	2020-03-27	1955	8	299	4	1224	8	536	2	82	1.097	335	2.19	33.5			
-476	2020-03-28	2161	8	206	0	1295	7	592	2	56	0.0	355	1.92	35.5			
-475	2020-03-29	2360	9	199	1	1336	8	647	2	54	0.274	366	2.19	36.6			
-474	2020-03-30	2464	11	104	2	1387	10	676	3	28	0.549	380	2.74	38.0			
-473	2020-03-31	2575	13	111	2	1355	12	706	3	30	0.549	371	3.29	37.1			
-472	2020-04-01	2754	16	179	3	1326	14	755	4	49	0.823	363	3.84	36.3			
-471	2020-04-02	2970	19	216	3	1314	15	814	5	59	0.823	360	4.12	36.0			
