Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	Cases_Last_Week_Doubling_Time	Cases_Last_Week_7Day_Percent	Days_Past
2020-01-02	1	0	1	0	0	0	0	0	0	0.0	0	0.0					-622
2020-01-03	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-621
2020-01-04	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-620
2020-01-05	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-619
2020-01-06	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-618
2020-01-07	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-617
2020-01-08	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-616
2020-01-09	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-615
2020-01-10	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-614
2020-01-11	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-613
2020-01-12	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-612
2020-01-13	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-611
2020-01-14	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-610
2020-01-15	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-609
2020-01-16	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-608
2020-01-17	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-607
2020-01-18	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-606
2020-01-19	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-605
2020-01-20	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-604
2020-01-21	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-603
2020-01-22	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-602
2020-01-23	3	0	2	0	2	0	0	0	0	0.0	0	0.0				0	-601
2020-01-24	3	0	0	0	2	0	0	0	0	0.0	0	0.0				0	-600
2020-01-25	3	0	0	0	2	0	0	0	0	0.0	0	0.0				0	-599
2020-01-26	3	0	0	0	2	0	0	0	0	0.0	0	0.0				0	-598
2020-01-27	3	0	0	0	2	0	0	0	0	0.0	0	0.0				0	-597
2020-01-28	5	0	2	0	4	0	0	0	0	0.0	0	0.0				0	-596
2020-01-29	7	0	2	0	6	0	0	0	0	0.0	0	0.0				0	-595
2020-01-30	7	0	0	0	4	0	0	0	0	0.0	0	0.0				100.0	-594
2020-01-31	11	0	4	0	8	0	0	0	0	0.0	0	0.0				300.0	-593
2020-02-01	12	0	1	0	9	0	0	0	0	0.0	0	0.0				350.0	-592
2020-02-02	12	0	0	0	9	0	0	0	0	0.0	0	0.0				350.0	-591
2020-02-03	13	0	1	0	10	0	0	0	0	0.0	0	0.0				400.0	-590
2020-02-04	17	0	4	0	12	0	0	0	0	0.0	0	0.0				200.0	-589
2020-02-05	17	0	0	0	10	0	0	0	0	0.0	0	0.0				66.7	-588
2020-02-06	18	0	1	0	11	0	0	0	0	0.0	0	0.0				175.0	-587
2020-02-07	19	0	1	0	8	0	0	0	0	0.0	0	0.0				0.0	-586
2020-02-08	19	0	0	0	7	0	0	0	0	0.0	0	0.0				-22.2	-585
2020-02-09	19	0	0	0	7	0	0	0	0	0.0	0	0.0				-22.2	-584
2020-02-10	19	0	0	0	6	0	0	0	0	0.0	0	0.0				-40.0	-583
2020-02-11	21	0	2	0	4	0	0	0	0	0.0	0	0.0				-66.7	-582
2020-02-12	21	0	0	0	4	0	0	0	0	0.0	0	0.0				-60.0	-581
2020-02-13	21	0	0	0	3	0	0	0	0	0.0	0	0.0				-72.7	-580
2020-02-14	21	0	0	0	2	0	0	0	0	0.0	0	0.0				-75.0	-579
2020-02-15	21	0	0	0	2	0	0	0	0	0.0	0	0.0				-71.4	-578
2020-02-16	21	0	0	0	2	0	0	0	0	0.0	0	0.0				-71.4	-577
2020-02-17	22	0	1	0	3	0	0	0	0	0.0	0	0.0				-50.0	-576
2020-02-18	23	0	1	0	2	0	0	0	0	0.0	0	0.0				-50.0	-575
2020-02-19	23	0	0	0	2	0	0	0	0	0.0	0	0.0				-50.0	-574
2020-02-20	25	1	2	1	4	1	0	0	0	0.012	0	0.01				33.3	-573
2020-02-21	25	1	0	0	4	1	0	0	0	0.0	0	0.01				100.0	-572
2020-02-22	25	1	0	0	4	1	0	0	0	0.0	0	0.01				100.0	-571
2020-02-23	25	1	0	0	4	1	0	0	0	0.0	0	0.01				100.0	-570
2020-02-24	26	1	1	0	4	1	0	0	0	0.0	0	0.01				33.3	-569
2020-02-25	29	1	3	0	6	1	0	0	0	0.0	0	0.01				200.0	-568
2020-02-26	36	1	7	0	13	1	0	0	0	0.0	0	0.01				550.0	-567
2020-02-27	59	1	23	0	34	0	0	0	0	0.0	0	0.0				750.0	-566
2020-02-28	106	1	47	0	81	0	1	0	0	0.0	0	0.0				1925.0	-565
2020-02-29	129	1	23	0	104	0	1	0	0	0.0	1	0.0				2500.0	-564
2020-03-01	164	1	35	0	139	0	1	0	0	0.0	1	0.0				3375.0	-563
2020-03-02	205	1	41	0	179	0	2	0	0	0.0	2	0.0				4375.0	-562
2020-03-03	289	1	84	0	260	0	3	0	1	0.0	3	0.0				4233.3	-561
2020-03-04	446	3	157	2	410	2	5	0	1	0.024	4	0.02				3053.8	-560
2020-03-05	632	4	186	1	573	3	7	0	2	0.012	6	0.04				1585.3	-559
2020-03-06	818	8	186	4	712	7	9	0	2	0.048	8	0.08				779.0	-558
2020-03-07	960	12	142	4	831	11	11	0	1	0.048	10	0.13				699.0	-557
2020-03-08	1062	13	102	1	898	12	12	0	1	0.012	10	0.14				546.0	-556
2020-03-09	1407	20	345	7	1202	19	16	0	4	0.084	14	0.23				571.5	-555
2020-03-10	2003	24	596	4	1714	23	24	0	7	0.048	20	0.28				559.2	-554
2020-03-11	2758	34	755	10	2312	31	33	0	9	0.12	27	0.37				463.9	-553
2020-03-12	3749	46	991	12	3117	42	45	0	11	0.145	37	0.51				444.0	-552
2020-03-13	5209	62	1460	16	4391	54	62	0	17	0.193	52	0.65				516.7	-551
2020-03-14	6513	82	1304	20	5553	70	78	0	15	0.241	66	0.84				568.2	-550
2020-03-15	7494	97	981	15	6432	84	90	1	11	0.181	77	1.01				616.3	-549
2020-03-16	9531	132	2037	35	8124	112	114	1	24	0.422	97	1.35				575.9	-548
2020-03-17	12556	176	3025	44	10553	152	151	2	36	0.53	127	1.83				515.7	-547
2020-03-18	16158	239	3602	63	13400	205	194	2	43	0.759	161	2.47				479.6	-546
2020-03-19	20217	303	4059	64	16468	257	243	3	48	0.771	198	3.1				428.3	-545
2020-03-20	24264	399	4047	96	19055	337	292	4	48	1.156	229	4.06				334.0	-544
2020-03-21	27619	494	3355	95	21106	412	332	5	40	1.144	254	4.96				280.1	-543
2020-03-22	29883	573	2264	79	22389	476	359	6	27	0.952	269	5.73				248.1	-542
2020-03-23	33613	704	3730	131	24082	572	404	8	44	1.578	290	6.89				196.4	-541
2020-03-24	38494	872	4881	168	25938	696	463	10	58	2.024	312	8.38				145.8	-540
2020-03-25	44169	1089	5675	217	28011	850	532	13	68	2.614	337	10.24				109.0	-539
2020-03-26	50072	1356	5903	267	29855	1053	603	16	71	3.216	359	12.68				81.3	-538
2020-03-27	56050	1620	5978	264	31786	1221	675	19	72	3.18	382	14.71				66.8	-537
2020-03-28	60773	1868	4723	248	33154	1374	732	22	56	2.987	399	16.55				57.1	-536
2020-03-29	63849	2034	3076	166	33966	1461	769	24	37	2.0	409	17.6				51.7	-535
2020-03-30	67966	2301	4117	267	34353	1597	818	27	49	3.216	413	19.24				42.7	-534
2020-03-31	74027	2683	6061	382	35533	1811	891	32	73	4.601	428	21.81				37.0	-533
2020-04-01	80283	3059	6256	376	36114	1970	967	36	75	4.529	435	23.73				28.9	-532
2020-04-02	86830	3476	6547	417	36758	2120	1045	41	78	5.023	442	25.54				23.1	-531
2020-04-03	93022	3872	6192	396	36972	2252	1120	46	74	4.77	445	27.13				16.3	-530
2020-04-04	97362	4116	4340	244	36589	2248	1172	49	52	2.939	440	27.08				10.4	-529
2020-04-05	99897	4300	2535	184	36048	2266	1203	51	30	2.216	434	27.29				6.1	-528
2020-04-06	103557	4591	3660	291	35591	2290	1247	55	44	3.505	428	27.58				3.6	-527
2020-04-07	108746	4931	5189	340	34719	2248	1309	59	62	4.095	418	27.08				-2.3	-526
2020-04-08	114022	5273	5276	342	33739	2214	1373	63	63	4.12	406	26.67				-6.6	-525
2020-04-09	118928	5599	4906	326	32098	2123	1432	67	59	3.927	386	25.57				-12.7	-524
2020-04-10	122283	5807	3355	208	29261	1935	1472	69	40	2.505	352	23.31				-20.9	-523
2020-04-11	125169	6008	2886	201	27807	1892	1507	72	34	2.421	334	22.79				-24.0	-522
2020-04-12	127032	6175	1863	167	27135	1875	1530	74	22	2.012	326	22.59				-24.7	-521
2020-04-13	128630	6337	1598	162	25073	1746	1549	76	19	1.951	302	21.03				-29.6	-520
2020-04-14	131095	6556	2465	219	22349	1625	1579	78	29	2.638	269	19.57				-35.6	-519
2020-04-15	134418	6787	3323	231	20396	1514	1619	81	40	2.782	245	18.24				-39.5	-518
2020-04-16	137836	6978	3418	191	18908	1379	1660	84	41	2.301	227	16.61				-41.1	-517
2020-04-17	140882	7153	3046	175	18599	1346	1696	86	36	2.108	224	16.21				-36.4	-516
2020-04-18	142988	7276	2106	123	17819	1268	1722	87	25	1.482	214	15.27				-35.9	-515
2020-04-19	144363	7395	1375	119	17331	1220	1738	89	16	1.433	208	14.7				-36.1	-514
2020-04-20	146071	7545	1708	150	17441	1208	1759	90	20	1.807	210	14.55				-30.4	-513
2020-04-21	148253	7684	2182	139	17158	1128	1785	92	26	1.674	206	13.59				-23.2	-512
2020-04-22	150742	7810	2489	126	16324	1023	1815	94	29	1.518	196	12.32				-20.0	-511
2020-04-23	152830	7927	2088	117	14994	949	1840	95	25	1.409	180	11.43				-20.7	-510
2020-04-24	154733	8011	1903	84	13851	858	1863	96	22	1.012	166	10.33				-25.5	-509
2020-04-25	156004	8091	1271	80	13016	815	1879	97	15	0.964	156	9.82				-27.0	-508
2020-04-26	156706	8121	702	30	12343	726	1887	97	8	0.361	148	8.74	7.8	58.6		-28.8	-507
2020-04-27	157822	8196	1116	75	11751	651	1901	98	13	0.903	141	7.84	7.5	59.1		-32.6	-506
2020-04-28	159284	8279	1462	83	11031	595	1918	99	17	1.0	132	7.17	7.5	59.4		-35.7	-505
2020-04-29	160714	8337	1430	58	9972	527	1935	100	17	0.699	120	6.35	7.2	60.5		-38.9	-504
2020-04-30	162172	8408	1458	71	9342	481	1953	101	17	0.855	112	5.79	6.8	60.6		-37.7	-503
2020-05-01	163090	8456	918	48	8357	445	1964	101	11	0.578	100	5.36	6.7	60.5		-39.7	-502
2020-05-02	163710	8492	620	36	7706	401	1971	102	7	0.434	92	4.83	6.4	59.8		-40.8	-501
2020-05-03	164134	8508	424	16	7428	387	1977	102	5	0.193	89	4.66	6.2	58.7		-39.8	-500
2020-05-04	164863	8549	729	41	7041	353	1985	102	8	0.494	84	4.25	6.1	59.1		-40.1	-499
2020-05-05	165953	8594	1090	45	6669	315	1998	103	13	0.542	80	3.79	5.9	59.7		-39.5	-498
2020-05-06	167173	8634	1220	40	6459	297	2013	104	14	0.482	77	3.58	5.8	61.2		-35.2	-497
2020-05-07	168371	8683	1198	49	6199	275	2028	104	14	0.59	74	3.31	5.6	61.5		-33.6	-496
2020-05-08	169350	8728	979	45	6260	272	2039	105	11	0.542	75	3.28	5.2	61.9		-25.1	-495
2020-05-09	170028	8751	678	23	6318	259	2048	105	8	0.277	76	3.12	5.1	61.6		-18.0	-494
2020-05-10	170370	8765	342	14	6236	257	2052	105	4	0.169	75	3.1	4.9	60.7		-16.0	-493
2020-05-11	171056	8791	686	26	6193	242	2060	105	8	0.313	74	2.91	4.9	60.0		-12.0	-492
2020-05-12	171910	8823	854	32	5957	229	2070	106	10	0.385	71	2.76	4.7	61.3		-10.7	-491
2020-05-13	172822	8850	912	27	5649	216	2081	106	10	0.325	68	2.6	4.4	62.2		-12.5	-490
2020-05-14	173631	8870	809	20	5260	187	2091	106	9	0.241	63	2.25	4.0	62.1		-15.1	-489
2020-05-15	174359	8901	728	31	5009	173	2100	107	8	0.373	60	2.08	3.9	62.5		-20.0	-488
2020-05-16	174818	8921	459	20	4790	170	2105	107	5	0.241	57	2.05	3.6	62.7		-24.2	-487
2020-05-17	175134	8929	316	8	4764	164	2109	107	3	0.096	57	1.98	3.5	61.5		-23.6	-486
2020-05-18	175677	8952	543	23	4621	161	2116	107	6	0.277	55	1.94	3.5	60.3		-25.4	-485
2020-05-19	176405	8979	728	27	4495	156	2124	108	8	0.325	54	1.88	3.4	61.7		-24.5	-484
2020-05-20	177233	9002	828	23	4411	152	2134	108	9	0.277	53	1.83	3.2	62.8		-21.9	-483
2020-05-21	177651	9009	418	7	4020	139	2139	108	5	0.084	48	1.67	3.0	62.9		-23.6	-482
2020-05-22	178176	9025	525	16	3817	124	2146	108	6	0.193	45	1.49	2.9	61.9		-23.8	-481
2020-05-23	178513	9036	337	11	3695	115	2150	108	4	0.132	44	1.39	2.8	61.6		-22.9	-480
2020-05-24	178731	9041	218	5	3597	112	2152	108	2	0.06	43	1.35	2.7	60.4		-24.5	-479
2020-05-25	179143	9054	412	13	3466	102	2157	109	4	0.157	41	1.23	2.7	60.3		-25.0	-478
2020-05-26	179760	9069	617	15	3355	90	2165	109	7	0.181	40	1.08	2.5	62.1		-25.4	-477
2020-05-27	180408	9081	648	12	3175	79	2173	109	7	0.145	38	0.95	2.3	63.1		-28.0	-476
2020-05-28	180938	9090	530	9	3287	81	2179	109	6	0.108	39	0.98	2.2	63.5		-18.2	-475
2020-05-29	181383	9098	445	8	3207	73	2184	109	5	0.096	38	0.88	2.2	63.4		-16.0	-474
2020-05-30	181757	9102	374	4	3244	66	2189	109	4	0.048	39	0.79	2.2	63.0		-12.2	-473
2020-05-31	181936	9105	179	3	3205	64	2191	109	2	0.036	38	0.77	2.1	61.4		-10.9	-472
2020-06-01	182073	9110	137	5	2930	56	2193	109	1	0.06	35	0.67	2.1	60.8		-15.5	-471
2020-06-02	182377	9118	304	8	2617	49	2196	109	3	0.096	31	0.59	2.1	61.1		-22.0	-470
2020-06-03	182873	9129	496	11	2465	48	2202	109	5	0.132	29	0.58	1.9	63.1		-22.4	-469
2020-06-04	183401	9136	528	7	2463	46	2209	110	6	0.084	29	0.55	1.8	64.3		-25.1	-468
