Country	Date	Population	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million
Austria	2020-12-14	8902600	325051	4530	36741	512
Belgium	2020-12-14	11515793	609211	18054	53336	1580
Canada	2020-12-14	37894799	472820	13570	12758	366
Czechia	2020-12-14	10649800	581079	9609	54686	904
Denmark	2020-12-14	5822763	113642	950	19602	163
Finland	2020-12-14	5521158	31110	461	5637	83
France	2020-12-14	67022000	2433859	58391	36333	871
Germany	2020-12-14	83149300	1357261	22634	16366	272
Greece	2020-12-14	10768477	125173	3687	11668	343
Hungary	2020-12-14	9772756	283870	7130	29058	729
Iran	2020-12-14	83183741	1115770	52447	13640	641
Italy	2020-12-14	60317546	1855737	65011	30708	1075
Japan	2020-12-14	126150000	182311	2530	1440	19
Netherlands	2020-12-14	17424978	632085	10168	36682	590
Portugal	2020-12-14	10276617	350938	5649	34132	549
South Korea	2020-12-14	51709098	44364	600	859	11
Spain	2020-12-14	46733038	1751884	48013	37494	1027
Sweden	2020-12-14	10333456	320098	7514	31434	737
Switzerland	2020-12-14	8570146	384557	6154	45154	722
Turkey	2020-12-14	83154997	1866345	16646	22671	202
United Kingdom	2020-12-14	67545757	1874867	64500	28198	970
United States	2020-12-14	328239523	16519462	300479	50492	918
