Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-488	2020-01-22	0	0	0	0	0	0	0	0.0						0	0.0
-487	2020-01-23	0	0	0	0	0	0	0	0.0						0	0.0
-486	2020-01-24	0	0	0	0	0	0	0	0.0						0	0.0
-485	2020-01-25	0	0	0	0	0	0	0	0.0						0	0.0
-484	2020-01-26	1	0	1	0	0	0	0	0.0						0	0.0
-483	2020-01-27	1	0	0	0	0	0	0	0.0						0	0.0
-482	2020-01-28	2	0	1	0	0	0	0	0.0						0	0.0
-481	2020-01-29	2	0	0	0	0	0	0	0.0						0	0.0
-480	2020-01-30	2	0	0	0	0	0	0	0.0						0	0.0
-479	2020-01-31	4	0	2	0	0	0	0	0.0						0	0.0
-478	2020-02-01	4	0	0	0	0	0	0	0.0						0	0.0
-477	2020-02-02	4	0	0	0	0	0	0	0.0						0	0.0
-476	2020-02-03	4	0	0	0	0	0	0	0.0						0	0.0
-475	2020-02-04	4	0	0	0	0	0	0	0.0						0	0.0
-474	2020-02-05	5	0	1	0	0	0	0	0.0						0	0.0
-473	2020-02-06	5	0	0	0	0	0	0	0.0						0	0.0
-472	2020-02-07	7	0	2	0	0	0	0	0.0						0	0.0
-471	2020-02-08	7	0	0	0	0	0	0	0.0						0	0.0
-470	2020-02-09	7	0	0	0	0	0	0	0.0						0	0.0
-469	2020-02-10	7	0	0	0	0	0	0	0.0						0	0.0
-468	2020-02-11	7	0	0	0	0	0	0	0.0						0	0.0
-467	2020-02-12	7	0	0	0	0	0	0	0.0						0	0.0
-466	2020-02-13	7	0	0	0	0	0	0	0.0						0	0.0
-465	2020-02-14	7	0	0	0	0	0	0	0.0						0	0.0
-464	2020-02-15	7	0	0	0	0	0	0	0.0						0	0.0
-463	2020-02-16	7	0	0	0	0	0	0	0.0						0	0.0
-462	2020-02-17	8	0	1	0	0	0	0	0.0						0	0.0
-461	2020-02-18	8	0	0	0	0	0	0	0.0						0	0.0
-460	2020-02-19	8	0	0	0	0	0	0	0.0						0	0.0
-459	2020-02-20	8	0	0	0	0	0	0	0.0						0	0.0
-458	2020-02-21	9	0	1	0	0	0	0	0.0						0	0.0
-457	2020-02-22	9	0	0	0	0	0	0	0.0						0	0.0
-456	2020-02-23	9	0	0	0	0	0	0	0.0						0	0.0
-455	2020-02-24	10	0	1	0	0	0	0	0.0						0	0.0
-454	2020-02-25	11	0	1	0	0	0	0	0.0						0	0.0
-453	2020-02-26	11	0	0	0	0	0	0	0.0						0	0.0
-452	2020-02-27	13	0	2	0	0	0	0	0.0						0	0.0
-451	2020-02-28	14	0	1	0	0	0	0	0.0						0	0.0
-450	2020-02-29	20	0	6	0	0	0	0	0.0						0	0.0
-449	2020-03-01	24	0	4	0	0	0	0	0.0						0	0.0
-448	2020-03-02	27	0	3	0	0	0	0	0.0						0	0.0
-447	2020-03-03	30	0	3	0	0	0	0	0.0						0	0.0
-446	2020-03-04	33	0	3	0	0	0	0	0.0						0	0.0
-445	2020-03-05	37	0	4	0	0	0	0	0.0						0	0.0
-444	2020-03-06	49	0	12	0	1	0	0	0.0						0	0.0
-443	2020-03-07	54	0	5	0	1	0	0	0.0						0	0.0
-442	2020-03-08	64	0	10	0	1	0	0	0.0						1	0.0
-441	2020-03-09	77	1	13	1	2	0	0	0.027						1	0.03
-440	2020-03-10	79	1	2	0	2	0	0	0.0						1	0.03
-439	2020-03-11	108	1	29	0	2	0	0	0.0						2	0.03
-438	2020-03-12	117	1	9	0	3	0	0	0.0						2	0.03
-437	2020-03-13	193	1	76	0	5	0	2	0.0						3	0.03
-436	2020-03-14	198	1	5	0	5	0	0	0.0						3	0.03
-435	2020-03-15	252	1	54	0	6	0	1	0.0						5	0.03
-434	2020-03-16	415	4	163	3	11	0	4	0.081					0	9	0.08
-433	2020-03-17	478	6	63	2	12	0	1	0.054					1	10	0.13
-432	2020-03-18	657	11	179	5	17	0	4	0.135					2	14	0.27
-431	2020-03-19	800	11	143	0	21	0	3	0.0					3	18	0.27
-430	2020-03-20	943	15	143	4	25	0	3	0.108					4	20	0.38
-429	2020-03-21	1277	19	334	4	34	0	9	0.108					5	29	0.49
-428	2020-03-22	1469	22	192	3	39	0	5	0.081					6	32	0.57
-427	2020-03-23	2088	29	619	7	56	0	16	0.189					7	45	0.67
-426	2020-03-24	2790	33	702	4	75	0	18	0.108					8	62	0.73
-425	2020-03-25	3251	42	461	9	87	1	12	0.243					9	69	0.84
-424	2020-03-26	4042	57	791	15	109	1	21	0.405					10	87	1.24
-423	2020-03-27	4682	66	640	9	126	1	17	0.243					11	100	1.38
-422	2020-03-28	5576	82	894	16	150	2	24	0.432					12	116	1.7
-421	2020-03-29	6280	96	704	14	169	2	18	0.378					13	129	2.0
-420	2020-03-30	7398	125	1118	29	199	3	30	0.783					14	143	2.59
-419	2020-03-31	8527	152	1129	27	230	4	30	0.729					15	154	3.21
-418	2020-04-01	9560	175	1033	23	257	4	27	0.621					16	170	3.59
-417	2020-04-02	11284	224	1724	49	304	6	46	1.322					17	195	4.51
-416	2020-04-03	12437	277	1153	53	335	7	31	1.43					18	209	5.69
-415	2020-04-04	12978	360	541	83	350	9	14	2.24					19	199	7.5
-414	2020-04-05	15756	435	2778	75	425	11	74	2.024					20	255	9.15
-413	2020-04-06	16563	520	807	85	446	14	21	2.294					21	247	10.66
-412	2020-04-07	17872	581	1309	61	482	15	35	1.646					22	252	11.58
-411	2020-04-08	19141	648	1269	67	516	17	34	1.808					23	258	12.76
-410	2020-04-09	20654	771	1513	123	557	20	40	3.319					24	252	14.76
-409	2020-04-10	22059	867	1405	96	595	23	37	2.59					25	259	15.92
-408	2020-04-11	23316	986	1257	119	629	26	33	3.211					26	278	16.89
-407	2020-04-12	24299	1095	983	109	655	29	26	2.941					27	230	17.81
-406	2020-04-13	25680	1225	1381	130	692	33	37	3.508					28	246	19.02
-405	2020-04-14	27035	1361	1355	136	729	36	36	3.67					29	247	21.05
-404	2020-04-15	28209	1515	1174	154	761	40	31	4.156					30	244	23.4
-403	2020-04-16	30809	1718	2600	203	831	46	70	5.478					31	274	25.55
-402	2020-04-17	32814	1844	2005	126	885	49	54	3.4					32	290	26.36
-401	2020-04-18	34356	1987	1542	143	927	53	41	3.859					33	297	27.01
-400	2020-04-19	35633	2145	1277	158	961	57	34	4.263					34	305	28.33
-399	2020-04-20	37658	2291	2025	146	1016	61	54	3.94					35	323	28.77
-398	2020-04-21	39402	2484	1744	193	1063	67	47	5.208					36	333	30.3
-397	2020-04-22	41663	2679	2261	195	1124	72	61	5.262					37	363	31.41
-396	2020-04-23	43299	2850	1636	171	1168	76	44	4.614					38	337	30.55
-395	2020-04-24	44919	3030	1620	180	1212	81	43	4.857					39	326	32.0
-394	2020-04-25	46371	3217	1452	187	1251	86	39	5.046					40	324	33.19
-393	2020-04-26	48033	3374	1662	157	1296	91	44	4.237					41	334	33.16
-392	2020-04-27	49616	3559	1583	185	1338	96	42	4.992					42	322	34.22
-391	2020-04-28	51150	3756	1534	197	1380	101	41	5.316					43	317	34.32
-390	2020-04-29	52865	4000	1715	244	1426	107	46	6.584					44	302	35.65
-389	2020-04-30	54457	4179	1592	179	1469	112	42	4.83					45	301	35.86
-388	2020-05-01	56343	4381	1886	202	1520	118	50	5.451					46	308	36.46
-387	2020-05-02	57926	4529	1583	148	1563	122	42	3.994					47	311	35.4
-386	2020-05-03	60504	4669	2578	140	1632	125	69	3.778					48	336	34.94
-385	2020-05-04	61957	4911	1453	242	1671	132	39	6.53					49	333	36.48
-384	2020-05-05	63215	5081	1258	170	1705	137	33	4.587					50	325	35.75
-383	2020-05-06	64694	5240	1479	159	1745	141	39	4.29					51	319	33.46
-382	2020-05-07	66201	5387	1507	147	1786	145	40	3.967					52	316	32.6
-381	2020-05-08	67674	5540	1473	153	1826	149	39	4.129					53	305	31.27
-380	2020-05-09	68918	5704	1244	164	1859	153	33	4.425					54	296	31.71
-379	2020-05-10	70091	5822	1173	118	1891	157	31	3.184					55	258	31.11
-378	2020-05-11	71264	5956	1173	134	1922	160	31	3.616					56	251	28.2
-377	2020-05-12	72419	6107	1155	151	1954	164	31	4.075					57	248	27.69
-376	2020-05-13	73568	6210	1149	103	1985	167	31	2.779					58	239	26.17
-375	2020-05-14	74781	6331	1213	121	2017	170	32	3.265					59	231	25.47
-374	2020-05-15	75959	6452	1178	121	2049	174	31	3.265					60	223	24.61
-373	2020-05-16	77206	6571	1247	119	2083	177	33	3.211					61	223	23.4
-372	2020-05-17	78332	6661	1126	90	2113	179	30	2.429					62	222	22.64
-371	2020-05-18	79411	6753	1079	92	2142	182	29	2.483					63	219	21.51
-370	2020-05-19	80493	6828	1082	75	2172	184	29	2.024					64	217	19.46
-369	2020-05-20	81575	6950	1082	122	2201	187	29	3.292					65	216	19.97
-368	2020-05-21	82742	7046	1167	96	2232	190	31	2.59					66	214	19.29
-367	2020-05-22	83947	7144	1205	98	2265	192	32	2.644					67	215	18.67
-366	2020-05-23	85151	7238	1204	94	2297	195	32	2.537					68	214	18.0
-365	2020-05-24	86106	7326	955	88	2323	197	25	2.375					69	209	17.94
-364	2020-05-25	87119	7420	1013	94	2350	200	27	2.537					70	207	18.0
