Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Days_Since_2nd_Death
2020-01-22	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-23	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-24	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-25	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-26	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-27	1	0	1	0	0	0	0	0	0	0.0	0	0.0			
2020-01-28	4	0	3	0	0	0	0	0	0	0.0	0	0.0			
2020-01-29	4	0	0	0	4	0	0	0	0	0.0	0	0.0			
2020-01-30	4	0	0	0	4	0	0	0	0	0.0	0	0.0			
2020-01-31	5	0	1	0	5	0	0	0	0	0.0	0	0.0			
2020-02-01	8	0	3	0	8	0	0	0	0	0.0	0	0.0			
2020-02-02	10	0	2	0	10	0	0	0	0	0.0	0	0.0			
2020-02-03	12	0	2	0	11	0	0	0	0	0.0	0	0.0			
2020-02-04	12	0	0	0	8	0	0	0	0	0.0	0	0.0			
2020-02-05	12	0	0	0	8	0	0	0	0	0.0	0	0.0			
2020-02-06	12	0	0	0	8	0	0	0	0	0.0	0	0.0			
2020-02-07	13	0	1	0	8	0	0	0	0	0.0	0	0.0			
2020-02-08	13	0	0	0	5	0	0	0	0	0.0	0	0.0			
2020-02-09	14	0	1	0	4	0	0	0	0	0.0	0	0.0			
2020-02-10	14	0	0	0	2	0	0	0	0	0.0	0	0.0			
2020-02-11	16	0	2	0	4	0	0	0	0	0.0	0	0.0			
2020-02-12	16	0	0	0	4	0	0	0	0	0.0	0	0.0			
2020-02-13	16	0	0	0	4	0	0	0	0	0.0	0	0.0			
2020-02-14	16	0	0	0	3	0	0	0	0	0.0	0	0.0			
2020-02-15	16	0	0	0	3	0	0	0	0	0.0	0	0.0			
2020-02-16	16	0	0	0	2	0	0	0	0	0.0	0	0.0			
2020-02-17	16	0	0	0	2	0	0	0	0	0.0	0	0.0			
2020-02-18	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-19	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-20	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-21	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-22	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-23	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-24	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-25	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-26	21	0	5	0	5	0	0	0	0	0.0	0	0.0			
2020-02-27	26	0	5	0	10	0	0	0	0	0.0	0	0.0			
2020-02-28	53	0	27	0	37	0	0	0	0	0.0	0	0.0			
2020-02-29	66	0	13	0	50	0	0	0	0	0.0	0	0.0			
2020-03-01	117	0	51	0	101	0	1	0	0	0.0	1	0.0			
2020-03-02	150	0	33	0	134	0	1	0	0	0.0	1	0.0			
2020-03-03	188	0	38	0	172	0	2	0	0	0.0	2	0.0			
2020-03-04	262	0	74	0	241	0	3	0	0	0.0	2	0.0			
2020-03-05	400	0	138	0	374	0	4	0	1	0.0	4	0.0			
2020-03-06	639	0	239	0	586	0	7	0	2	0.0	7	0.0			
2020-03-07	795	0	156	0	729	0	9	0	1	0.0	8	0.0			
2020-03-08	902	0	107	0	785	0	10	0	1	0.0	9	0.0			
