Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Days_Since_2nd_Death
2020-01-22	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-23	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-24	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-25	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-26	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-27	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-30	0	1	0	1	0	1	0	0	0	0.015	0	0.02			
2020-01-31	2	1	2	0	2	1	0	0	0	0.0	0	0.02			
2020-02-01	2	1	0	0	2	1	0	0	0	0.0	0	0.02			
2020-02-02	2	2	0	1	2	2	0	0	0	0.015	0	0.03			0
2020-02-03	8	2	6	0	8	2	0	0	0	0.0	0	0.03			1
2020-02-04	8	2	0	0	8	2	0	0	0	0.0	0	0.03			2
2020-02-05	9	2	1	0	9	2	0	0	0	0.0	0	0.03			3
2020-02-06	9	2	0	0	9	1	0	0	0	0.0	0	0.02			4
2020-02-07	9	2	0	0	7	1	0	0	0	0.0	0	0.02			5
2020-02-08	13	2	4	0	11	1	0	0	0	0.0	0	0.02			6
2020-02-09	14	2	1	0	12	0	0	0	0	0.0	0	0.0			7
2020-02-10	14	2	0	0	6	0	0	0	0	0.0	0	0.0			8
2020-02-11	15	2	1	0	7	0	0	0	0	0.0	0	0.0			9
2020-02-12	16	2	1	0	7	0	0	0	0	0.0	0	0.0			10
2020-02-13	17	2	1	0	8	0	0	0	0	0.0	0	0.0			11
2020-02-14	18	2	1	0	9	0	0	0	0	0.0	0	0.0			12
2020-02-15	18	2	0	0	5	0	0	0	0	0.0	0	0.0			13
2020-02-16	18	2	0	0	4	0	0	0	0	0.0	0	0.0			14
2020-02-17	19	2	1	0	5	0	0	0	0	0.0	0	0.0			15
2020-02-18	19	2	0	0	4	0	0	0	0	0.0	0	0.0			16
2020-02-19	20	2	1	0	4	0	0	0	0	0.0	0	0.0			17
2020-02-20	22	2	2	0	5	0	0	0	0	0.0	0	0.0			18
2020-02-21	23	2	1	0	5	0	0	0	0	0.0	0	0.0			19
2020-02-22	23	3	0	1	5	1	0	0	0	0.015	0	0.02			20
2020-02-23	28	3	5	0	10	1	0	0	0	0.0	0	0.02			21
2020-02-24	30	3	2	0	11	1	0	0	0	0.0	0	0.02			22
2020-02-25	34	3	4	0	15	1	0	0	0	0.0	0	0.02			23
2020-02-26	37	3	3	0	17	1	0	0	0	0.0	0	0.02			24
2020-02-27	44	3	7	0	22	1	0	0	0	0.0	0	0.02			25
2020-02-28	56	3	12	0	33	1	0	0	0	0.0	0	0.02			26
2020-02-29	61	3	5	0	38	0	0	0	0	0.0	0	0.0			27
2020-03-01	94	3	33	0	66	0	1	0	0	0.0	0	0.0			28
2020-03-02	134	4	40	1	104	1	2	0	0	0.015	1	0.02			29
2020-03-03	189	4	55	0	155	1	2	0	0	0.0	2	0.02			30
2020-03-04	246	5	57	1	209	2	3	0	0	0.015	3	0.03			31
2020-03-05	295	7	49	2	251	4	4	0	0	0.03	3	0.06			32
2020-03-06	374	9	79	2	318	6	5	0	1	0.03	4	0.09			33
2020-03-07	429	9	55	0	368	6	6	0	0	0.0	5	0.09			34
