Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Days_Since_2nd_Death
2020-01-22	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-23	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-24	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-25	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-26	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-27	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-30	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-31	2	0	2	0	2	0	0	0	0	0.0	0	0.0			
2020-02-01	2	0	0	0	2	0	0	0	0	0.0	0	0.0			
2020-02-02	2	0	0	0	2	0	0	0	0	0.0	0	0.0			
2020-02-03	2	0	0	0	2	0	0	0	0	0.0	0	0.0			
2020-02-04	2	0	0	0	2	0	0	0	0	0.0	0	0.0			
2020-02-05	2	0	0	0	2	0	0	0	0	0.0	0	0.0			
2020-02-06	2	0	0	0	2	0	0	0	0	0.0	0	0.0			
2020-02-07	3	0	1	0	1	0	0	0	0	0.0	0	0.0			
2020-02-08	3	0	0	0	1	0	0	0	0	0.0	0	0.0			
2020-02-09	3	0	0	0	1	0	0	0	0	0.0	0	0.0			
2020-02-10	3	0	0	0	1	0	0	0	0	0.0	0	0.0			
2020-02-11	3	0	0	0	1	0	0	0	0	0.0	0	0.0			
2020-02-12	3	0	0	0	1	0	0	0	0	0.0	0	0.0			
2020-02-13	3	0	0	0	1	0	0	0	0	0.0	0	0.0			
2020-02-14	3	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-15	3	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-16	3	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-17	3	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-18	3	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-19	3	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-20	3	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-21	20	1	17	1	17	1	0	0	0	0.017	0	0.02			
2020-02-22	62	2	42	1	59	2	1	0	0	0.017	0	0.03			0
2020-02-23	155	3	93	1	152	3	2	0	1	0.017	2	0.05			1
2020-02-24	229	7	74	4	226	7	3	0	1	0.066	3	0.12			2
2020-02-25	322	10	93	3	319	10	5	0	1	0.05	5	0.17			3
2020-02-26	453	12	131	2	450	12	7	0	2	0.033	7	0.2			4
2020-02-27	655	17	202	5	652	17	10	0	3	0.083	10	0.28			5
2020-02-28	888	21	233	4	868	20	14	0	3	0.066	14	0.33			6
2020-02-29	1128	29	240	8	1066	27	18	0	3	0.132	17	0.45			7
2020-03-01	1694	34	566	5	1539	31	28	0	9	0.083	25	0.51			8
2020-03-02	2036	52	342	18	1807	45	33	0	5	0.298	29	0.74			9
2020-03-03	2502	79	466	27	2180	69	41	1	7	0.447	36	1.14			10
2020-03-04	3089	107	587	28	2636	95	51	1	9	0.463	43	1.57			11
2020-03-05	3858	148	769	41	3203	131	63	2	12	0.678	53	2.17			12
2020-03-06	4636	197	778	49	3748	176	76	3	12	0.811	62	2.91			13
2020-03-07	5883	233	1247	36	4755	204	97	3	20	0.596	78	3.38			14
