Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-488	2020-01-22	0	0	0	0	0	0	0	0.0						0	0.0
-487	2020-01-23	0	0	0	0	0	0	0	0.0						0	0.0
-486	2020-01-24	0	0	0	0	0	0	0	0.0						0	0.0
-485	2020-01-25	0	0	0	0	0	0	0	0.0						0	0.0
-484	2020-01-26	0	0	0	0	0	0	0	0.0						0	0.0
-483	2020-01-27	1	0	1	0	0	0	0	0.0						0	0.0
-482	2020-01-28	1	0	0	0	0	0	0	0.0						0	0.0
-481	2020-01-29	1	0	0	0	0	0	0	0.0						0	0.0
-480	2020-01-30	1	0	0	0	0	0	0	0.0						0	0.0
-479	2020-01-31	1	0	0	0	0	0	0	0.0						0	0.0
-478	2020-02-01	1	0	0	0	0	0	0	0.0						0	0.0
-477	2020-02-02	1	0	0	0	0	0	0	0.0						0	0.0
-476	2020-02-03	1	0	0	0	0	0	0	0.0						0	0.0
-475	2020-02-04	1	0	0	0	0	0	0	0.0						0	0.0
-474	2020-02-05	1	0	0	0	0	0	0	0.0						0	0.0
-473	2020-02-06	1	0	0	0	0	0	0	0.0						0	0.0
-472	2020-02-07	1	0	0	0	0	0	0	0.0						0	0.0
-471	2020-02-08	1	0	0	0	0	0	0	0.0						0	0.0
-470	2020-02-09	1	0	0	0	0	0	0	0.0						0	0.0
-469	2020-02-10	1	0	0	0	0	0	0	0.0						0	0.0
-468	2020-02-11	1	0	0	0	0	0	0	0.0						0	0.0
-467	2020-02-12	1	0	0	0	0	0	0	0.0						0	0.0
-466	2020-02-13	1	0	0	0	0	0	0	0.0						0	0.0
-465	2020-02-14	1	0	0	0	0	0	0	0.0						0	0.0
-464	2020-02-15	1	0	0	0	0	0	0	0.0						0	0.0
-463	2020-02-16	1	0	0	0	0	0	0	0.0						0	0.0
-462	2020-02-17	1	0	0	0	0	0	0	0.0						0	0.0
-461	2020-02-18	1	0	0	0	0	0	0	0.0						0	0.0
-460	2020-02-19	1	0	0	0	0	0	0	0.0						0	0.0
-459	2020-02-20	1	0	0	0	0	0	0	0.0						0	0.0
-458	2020-02-21	1	0	0	0	0	0	0	0.0						0	0.0
-457	2020-02-22	1	0	0	0	0	0	0	0.0						0	0.0
-456	2020-02-23	1	0	0	0	0	0	0	0.0						0	0.0
-455	2020-02-24	1	0	0	0	0	0	0	0.0						0	0.0
-454	2020-02-25	1	0	0	0	0	0	0	0.0						0	0.0
-453	2020-02-26	1	0	0	0	0	0	0	0.0						0	0.0
-452	2020-02-27	1	0	0	0	0	0	0	0.0						0	0.0
-451	2020-02-28	1	0	0	0	0	0	0	0.0						0	0.0
-450	2020-02-29	1	0	0	0	0	0	0	0.0						0	0.0
-449	2020-03-01	1	0	0	0	0	0	0	0.0						0	0.0
-448	2020-03-02	1	0	0	0	0	0	0	0.0						0	0.0
-447	2020-03-03	1	0	0	0	0	0	0	0.0						0	0.0
-446	2020-03-04	1	0	0	0	0	0	0	0.0						0	0.0
-445	2020-03-05	1	0	0	0	0	0	0	0.0						0	0.0
-444	2020-03-06	1	0	0	0	0	0	0	0.0						0	0.0
-443	2020-03-07	1	0	0	0	0	0	0	0.0						0	0.0
-442	2020-03-08	1	0	0	0	0	0	0	0.0						0	0.0
-441	2020-03-09	1	0	0	0	0	0	0	0.0						0	0.0
-440	2020-03-10	1	0	0	0	0	0	0	0.0						0	0.0
-439	2020-03-11	2	0	1	0	0	0	0	0.0						0	0.0
-438	2020-03-12	2	0	0	0	0	0	0	0.0						0	0.0
-437	2020-03-13	6	0	4	0	0	0	0	0.0						0	0.0
-436	2020-03-14	10	0	4	0	0	0	0	0.0						0	0.0
-435	2020-03-15	18	0	8	0	0	0	0	0.0						0	0.0
-434	2020-03-16	28	0	10	0	1	0	0	0.0						1	0.0
-433	2020-03-17	44	0	16	0	2	0	0	0.0						1	0.0
-432	2020-03-18	51	0	7	0	2	0	0	0.0						2	0.0
-431	2020-03-19	60	0	9	0	2	0	0	0.0						2	0.0
-430	2020-03-20	73	0	13	0	3	0	0	0.0						3	0.0
-429	2020-03-21	77	0	4	0	3	0	0	0.0						3	0.0
-428	2020-03-22	82	0	5	0	3	0	0	0.0						2	0.0
-427	2020-03-23	97	0	15	0	4	0	0	0.0						3	0.0
-426	2020-03-24	102	0	5	0	4	0	0	0.0						2	0.0
-425	2020-03-25	102	0	0	0	4	0	0	0.0						2	0.0
-424	2020-03-26	106	0	4	0	4	0	0	0.0						2	0.0
-423	2020-03-27	106	0	0	0	4	0	0	0.0						1	0.0
-422	2020-03-28	113	1	7	1	5	0	0	0.046						1	0.05
-421	2020-03-29	117	1	4	0	5	0	0	0.0						1	0.05
-420	2020-03-30	122	2	5	1	5	0	0	0.046					0	1	0.09
-419	2020-03-31	143	2	21	0	6	0	0	0.0					1	1	0.09
-418	2020-04-01	146	3	3	1	6	0	0	0.046					2	2	0.14
-417	2020-04-02	151	4	5	1	6	0	0	0.046					3	2	0.18
-416	2020-04-03	159	4	8	0	7	0	0	0.0					4	2	0.18
-415	2020-04-04	166	5	7	1	7	0	0	0.046					5	2	0.18
-414	2020-04-05	176	5	10	0	8	0	0	0.0					6	2	0.18
-413	2020-04-06	178	5	2	0	8	0	0	0.0					7	2	0.14
-412	2020-04-07	185	6	7	1	8	0	0	0.046					8	1	0.18
-411	2020-04-08	189	7	4	1	8	0	0	0.046					9	1	0.18
-410	2020-04-09	190	7	1	0	8	0	0	0.0					10	1	0.14
-409	2020-04-10	190	7	0	0	8	0	0	0.0					11	1	0.14
-408	2020-04-11	198	7	8	0	9	0	0	0.0					12	1	0.09
-407	2020-04-12	210	7	12	0	9	0	0	0.0					13	1	0.09
-406	2020-04-13	217	7	7	0	10	0	0	0.0					14	1	0.09
-405	2020-04-14	233	7	16	0	10	0	0	0.0					15	2	0.05
-404	2020-04-15	238	7	5	0	10	0	0	0.0					16	2	0.0
-403	2020-04-16	238	7	0	0	10	0	0	0.0					17	2	0.0
-402	2020-04-17	244	7	6	0	11	0	0	0.0					18	2	0.0
-401	2020-04-18	254	7	10	0	11	0	0	0.0					19	2	0.0
-400	2020-04-19	271	7	17	0	12	0	0	0.0					20	2	0.0
-399	2020-04-20	304	7	33	0	14	0	1	0.0					21	4	0.0
-398	2020-04-21	310	7	6	0	14	0	0	0.0					22	3	0.0
-397	2020-04-22	330	7	20	0	15	0	0	0.0					23	4	0.0
-396	2020-04-23	368	7	38	0	16	0	1	0.0					24	5	0.0
-395	2020-04-24	420	7	52	0	19	0	2	0.0					25	8	0.0
-394	2020-04-25	460	7	40	0	21	0	1	0.0					26	9	0.0
-393	2020-04-26	523	7	63	0	24	0	2	0.0					27	11	0.0
-392	2020-04-27	588	7	65	0	27	0	3	0.0					28	13	0.0
-391	2020-04-28	619	7	31	0	28	0	1	0.0					29	14	0.0
-390	2020-04-29	649	7	30	0	29	0	1	0.0					30	14	0.0
-389	2020-04-30	663	7	14	0	30	0	0	0.0					31	13	0.0
-388	2020-05-01	690	7	27	0	31	0	1	0.0					32	12	0.0
-387	2020-05-02	705	7	15	0	32	0	0	0.0					33	11	0.0
-386	2020-05-03	718	7	13	0	33	0	0	0.0					34	8	0.0
-385	2020-05-04	751	8	33	1	34	0	1	0.046					35	7	0.05
-384	2020-05-05	771	9	20	1	35	0	0	0.046					36	7	0.09
-383	2020-05-06	797	9	26	0	36	0	1	0.0					37	6	0.09
-382	2020-05-07	824	9	27	0	38	0	1	0.0					38	7	0.09
-381	2020-05-08	835	9	11	0	38	0	0	0.0					39	6	0.09
-380	2020-05-09	847	9	12	0	39	0	0	0.0					40	6	0.09
-379	2020-05-10	863	9	16	0	39	0	0	0.0					41	6	0.09
-378	2020-05-11	869	9	6	0	40	0	0	0.0					42	5	0.05
-377	2020-05-12	889	9	20	0	41	0	0	0.0					43	5	0.0
-376	2020-05-13	915	9	26	0	42	0	1	0.0					44	5	0.0
-375	2020-05-14	925	9	10	0	42	0	0	0.0					45	4	0.0
-374	2020-05-15	935	9	10	0	43	0	0	0.0					46	4	0.0
-373	2020-05-16	960	9	25	0	44	0	1	0.0					47	5	0.0
-372	2020-05-17	981	9	21	0	45	0	0	0.0					48	5	0.0
-371	2020-05-18	992	9	11	0	45	0	0	0.0					49	5	0.0
-370	2020-05-19	1027	9	35	0	47	0	1	0.0					50	6	0.0
-369	2020-05-20	1028	9	1	0	47	0	0	0.0					51	5	0.0
-368	2020-05-21	1055	9	27	0	48	0	1	0.0					52	5	0.0
-367	2020-05-22	1068	9	13	0	49	0	0	0.0					53	6	0.0
-366	2020-05-23	1089	9	21	0	50	0	0	0.0					54	5	0.0
-365	2020-05-24	1141	9	52	0	52	0	2	0.0					55	7	0.0
-364	2020-05-25	1182	10	41	1	54	0	1	0.046					56	8	0.05
-363	2020-05-26	1319	10	137	0	60	0	6	0.0					57	13	0.05
-362	2020-05-27	1469	10	150	0	67	0	6	0.0					58	20	0.05
-361	2020-05-28	1530	10	61	0	70	0	2	0.0					59	21	0.05
-360	2020-05-29	1558	10	28	0	71	0	1	0.0					60	22	0.05
-359	2020-05-30	1620	10	62	0	74	0	2	0.0					61	24	0.05
-358	2020-05-31	1633	10	13	0	75	0	0	0.0					62	22	0.05
