Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Days_Since_2nd_Death
2020-01-22	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-23	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-24	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-25	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-26	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-27	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-30	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-31	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-01	1	0	1	0	1	0	0	0	0	0.0	0	0.0			
2020-02-02	1	0	0	0	1	0	0	0	0	0.0	0	0.0			
2020-02-03	1	0	0	0	1	0	0	0	0	0.0	0	0.0			
2020-02-04	1	0	0	0	1	0	0	0	0	0.0	0	0.0			
2020-02-05	1	0	0	0	1	0	0	0	0	0.0	0	0.0			
2020-02-06	1	0	0	0	1	0	0	0	0	0.0	0	0.0			
2020-02-07	1	0	0	0	1	0	0	0	0	0.0	0	0.0			
2020-02-08	1	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-09	1	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-10	1	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-11	1	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-12	1	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-13	1	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-14	1	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-15	1	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-16	1	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-17	1	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-18	1	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-19	1	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-20	1	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-21	1	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-22	1	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-23	1	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-24	1	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-25	1	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-26	2	0	1	0	1	0	0	0	0	0.0	0	0.0			
2020-02-27	3	0	1	0	2	0	0	0	0	0.0	0	0.0			
2020-02-28	11	0	8	0	10	0	1	0	0	0.0	0	0.0			
2020-02-29	14	0	3	0	13	0	1	0	0	0.0	1	0.0			
2020-03-01	14	0	0	0	13	0	1	0	0	0.0	1	0.0			
2020-03-02	19	0	5	0	18	0	1	0	0	0.0	1	0.0			
2020-03-03	32	0	13	0	31	0	3	0	1	0.0	3	0.0			
2020-03-04	62	0	30	0	60	0	6	0	2	0.0	5	0.0			
2020-03-05	87	0	25	0	84	0	8	0	2	0.0	8	0.0			
2020-03-06	146	0	59	0	135	0	14	0	5	0.0	13	0.0			
2020-03-07	179	0	33	0	165	0	17	0	3	0.0	16	0.0			
2020-03-08	225	0	46	0	211	0	22	0	4	0.0	20	0.0			
