Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-488	2020-01-22	0	0	0	0	0	0	0	0.0						0	0.0
-487	2020-01-23	0	0	0	0	0	0	0	0.0						0	0.0
-486	2020-01-24	0	0	0	0	0	0	0	0.0						0	0.0
-485	2020-01-25	0	0	0	0	0	0	0	0.0						0	0.0
-484	2020-01-26	0	0	0	0	0	0	0	0.0						0	0.0
-483	2020-01-27	0	0	0	0	0	0	0	0.0						0	0.0
-482	2020-01-28	0	0	0	0	0	0	0	0.0						0	0.0
-481	2020-01-29	0	0	0	0	0	0	0	0.0						0	0.0
-480	2020-01-30	0	0	0	0	0	0	0	0.0						0	0.0
-479	2020-01-31	0	0	0	0	0	0	0	0.0						0	0.0
-478	2020-02-01	0	0	0	0	0	0	0	0.0						0	0.0
-477	2020-02-02	0	0	0	0	0	0	0	0.0						0	0.0
-476	2020-02-03	0	0	0	0	0	0	0	0.0						0	0.0
-475	2020-02-04	0	0	0	0	0	0	0	0.0						0	0.0
-474	2020-02-05	0	0	0	0	0	0	0	0.0						0	0.0
-473	2020-02-06	0	0	0	0	0	0	0	0.0						0	0.0
-472	2020-02-07	0	0	0	0	0	0	0	0.0						0	0.0
-471	2020-02-08	0	0	0	0	0	0	0	0.0						0	0.0
-470	2020-02-09	0	0	0	0	0	0	0	0.0						0	0.0
-469	2020-02-10	0	0	0	0	0	0	0	0.0						0	0.0
-468	2020-02-11	0	0	0	0	0	0	0	0.0						0	0.0
-467	2020-02-12	0	0	0	0	0	0	0	0.0						0	0.0
-466	2020-02-13	0	0	0	0	0	0	0	0.0						0	0.0
-465	2020-02-14	0	0	0	0	0	0	0	0.0						0	0.0
-464	2020-02-15	0	0	0	0	0	0	0	0.0						0	0.0
-463	2020-02-16	0	0	0	0	0	0	0	0.0						0	0.0
-462	2020-02-17	0	0	0	0	0	0	0	0.0						0	0.0
-461	2020-02-18	0	0	0	0	0	0	0	0.0						0	0.0
-460	2020-02-19	0	0	0	0	0	0	0	0.0						0	0.0
-459	2020-02-20	0	0	0	0	0	0	0	0.0						0	0.0
-458	2020-02-21	0	0	0	0	0	0	0	0.0						0	0.0
-457	2020-02-22	0	0	0	0	0	0	0	0.0						0	0.0
-456	2020-02-23	0	0	0	0	0	0	0	0.0						0	0.0
-455	2020-02-24	0	0	0	0	0	0	0	0.0						0	0.0
-454	2020-02-25	0	0	0	0	0	0	0	0.0						0	0.0
-453	2020-02-26	0	0	0	0	0	0	0	0.0						0	0.0
-452	2020-02-27	0	0	0	0	0	0	0	0.0						0	0.0
-451	2020-02-28	0	0	0	0	0	0	0	0.0						0	0.0
-450	2020-02-29	0	0	0	0	0	0	0	0.0						0	0.0
-449	2020-03-01	0	0	0	0	0	0	0	0.0						0	0.0
-448	2020-03-02	0	0	0	0	0	0	0	0.0						0	0.0
-447	2020-03-03	0	0	0	0	0	0	0	0.0						0	0.0
-446	2020-03-04	0	0	0	0	0	0	0	0.0						0	0.0
-445	2020-03-05	0	0	0	0	0	0	0	0.0						0	0.0
-444	2020-03-06	0	0	0	0	0	0	0	0.0						0	0.0
-443	2020-03-07	0	0	0	0	0	0	0	0.0						0	0.0
-442	2020-03-08	0	0	0	0	0	0	0	0.0						0	0.0
-441	2020-03-09	0	0	0	0	0	0	0	0.0						0	0.0
-440	2020-03-10	0	0	0	0	0	0	0	0.0						0	0.0
-439	2020-03-11	1	0	1	0	0	0	0	0.0						0	0.0
-438	2020-03-12	1	0	0	0	0	0	0	0.0						0	0.0
-437	2020-03-13	5	0	4	0	0	0	0	0.0						0	0.0
-436	2020-03-14	5	0	0	0	0	0	0	0.0						0	0.0
-435	2020-03-15	6	0	1	0	0	0	0	0.0						0	0.0
-434	2020-03-16	18	0	12	0	0	0	0	0.0						0	0.0
-433	2020-03-17	47	1	29	1	0	0	0	0.012						0	0.01
-432	2020-03-18	98	1	51	0	1	0	0	0.0						1	0.01
-431	2020-03-19	192	3	94	2	2	0	1	0.024					0	2	0.04
-430	2020-03-20	359	4	167	1	4	0	2	0.012					1	4	0.05
-429	2020-03-21	670	9	311	5	8	0	3	0.061					2	8	0.11
-428	2020-03-22	1236	30	566	21	15	0	6	0.255					3	14	0.36
-427	2020-03-23	1529	37	293	7	18	0	3	0.085					4	18	0.45
-426	2020-03-24	1872	44	343	7	22	0	4	0.085					5	22	0.52
-425	2020-03-25	2433	59	561	15	29	0	6	0.182					6	28	0.7
-424	2020-03-26	3629	75	1196	16	44	0	14	0.194					7	41	0.87
-423	2020-03-27	5698	92	2069	17	69	1	25	0.207					8	64	1.07
-422	2020-03-28	7402	108	1704	16	89	1	20	0.194					9	81	1.2
-421	2020-03-29	9217	131	1815	23	111	1	22	0.279					10	96	1.23
-420	2020-03-30	10827	168	1610	37	131	2	19	0.449					11	112	1.59
-419	2020-03-31	13531	214	2704	46	164	2	32	0.559					12	141	2.07
-418	2020-04-01	15679	277	2148	63	190	3	26	0.765					13	160	2.65
-417	2020-04-02	18135	356	2456	79	220	4	29	0.96					14	176	3.41
-416	2020-04-03	20921	425	2786	69	254	5	33	0.838					15	184	4.05
-415	2020-04-04	23934	501	3013	76	290	6	36	0.923					16	200	4.77
-414	2020-04-05	27069	574	3135	73	328	6	38	0.887					17	216	5.38
-413	2020-04-06	30217	649	3148	75	367	7	38	0.911					18	235	5.84
-412	2020-04-07	34109	725	3892	76	414	8	47	0.923					19	249	6.21
-411	2020-04-08	38226	812	4117	87	464	9	50	1.057					20	273	6.5
-410	2020-04-09	42282	908	4056	96	513	11	49	1.166					21	293	6.71
-409	2020-04-10	47029	1006	4747	98	571	12	57	1.19					22	317	7.06
-408	2020-04-11	52167	1101	5138	95	633	13	62	1.154					23	342	7.29
-407	2020-04-12	56956	1198	4789	97	691	14	58	1.178					24	363	7.58
-406	2020-04-13	61049	1296	4093	98	741	15	49	1.19					25	374	7.86
-405	2020-04-14	65111	1403	4062	107	790	17	49	1.3					26	376	8.24
-404	2020-04-15	69392	1518	4281	115	842	18	52	1.397					27	378	8.58
-403	2020-04-16	74193	1643	4801	125	901	19	58	1.518					28	387	8.93
-402	2020-04-17	78546	1769	4353	126	954	21	52	1.531					29	382	9.27
-401	2020-04-18	82329	1890	3783	121	1000	22	45	1.47					30	366	9.58
-400	2020-04-19	86306	2017	3977	127	1048	24	48	1.543					31	356	9.95
-399	2020-04-20	90980	2140	4674	123	1105	25	56	1.494					32	363	10.25
-398	2020-04-21	95591	2259	4611	119	1161	27	56	1.446					33	370	10.4
-397	2020-04-22	98674	2376	3083	117	1198	28	37	1.421					34	355	10.42
-396	2020-04-23	101790	2491	3116	115	1236	30	37	1.397					35	335	10.3
-395	2020-04-24	104912	2600	3122	109	1274	31	37	1.324					36	320	10.09
-394	2020-04-25	107773	2706	2861	106	1309	32	34	1.288					37	309	9.91
-393	2020-04-26	110130	2805	2357	99	1337	34	28	1.203					38	289	9.57
-392	2020-04-27	112261	2900	2131	95	1363	35	25	1.154					39	258	9.23
-391	2020-04-28	114653	2992	2392	92	1392	36	29	1.118					40	231	8.9
-390	2020-04-29	117589	3081	2936	89	1428	37	35	1.081					41	229	8.56
-389	2020-04-30	120204	3174	2615	93	1460	38	31	1.13					42	223	8.3
-388	2020-05-01	122392	3258	2188	84	1486	39	26	1.02					43	212	7.99
-387	2020-05-02	124375	3336	1983	78	1510	40	24	0.948					44	201	7.65
-386	2020-05-03	126045	3397	1670	61	1531	41	20	0.741					45	193	7.19
-385	2020-05-04	127659	3461	1614	64	1550	42	19	0.777					46	187	6.81
-384	2020-05-05	129491	3520	1832	59	1573	42	22	0.717					47	180	6.41
-383	2020-05-06	131744	3584	2253	64	1600	43	27	0.777					48	171	6.11
-382	2020-05-07	133721	3641	1977	57	1624	44	24	0.692					49	164	5.67
-381	2020-05-08	135569	3689	1848	48	1646	44	22	0.583					50	160	5.24
-380	2020-05-09	137115	3739	1546	50	1665	45	18	0.607					51	154	4.9
-379	2020-05-10	138657	3786	1542	47	1684	45	18	0.571					52	153	4.73
-378	2020-05-11	139771	3841	1114	55	1697	46	13	0.668					53	147	4.62
-377	2020-05-12	141475	3894	1704	53	1718	47	20	0.644					54	145	4.54
-376	2020-05-13	143114	3952	1639	58	1738	48	19	0.705					55	138	4.47
-375	2020-05-14	144749	4007	1635	55	1758	48	19	0.668					56	133	4.45
-374	2020-05-15	146457	4055	1708	48	1779	49	20	0.583					57	132	4.45
-373	2020-05-16	148067	4096	1610	41	1798	49	19	0.498					58	133	4.34
-372	2020-05-17	149435	4140	1368	44	1815	50	16	0.535					59	130	4.3
-371	2020-05-18	150593	4171	1158	31	1829	50	14	0.377					60	131	4.01
-370	2020-05-19	151615	4199	1022	28	1841	51	12	0.34					61	123	3.71
-369	2020-05-20	152587	4222	972	23	1853	51	11	0.279					62	115	3.28
-368	2020-05-21	153548	4249	961	27	1865	51	11	0.328					63	106	2.94
-367	2020-05-22	154500	4276	952	27	1876	51	11	0.328					64	97	2.68
-366	2020-05-23	155686	4308	1186	32	1891	52	14	0.389					65	92	2.58
-365	2020-05-24	156827	4340	1141	32	1905	52	13	0.389					66	89	2.43
-364	2020-05-25	157814	4369	987	29	1917	53	11	0.352					67	87	2.41
