Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Days_Since_2nd_Death
2020-01-22	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-23	2	0	2	0	0	0	0	0	0	0.0	0	0.0			
2020-01-24	2	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-25	2	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-26	2	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-27	2	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-28	2	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-29	2	0	0	0	2	0	0	0	0	0.0	0	0.0			
2020-01-30	2	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-31	2	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-01	6	0	4	0	4	0	0	0	0	0.0	0	0.0			
2020-02-02	6	0	0	0	4	0	0	0	0	0.0	0	0.0			
2020-02-03	8	0	2	0	6	0	0	0	0	0.0	0	0.0			
2020-02-04	8	0	0	0	6	0	0	0	0	0.0	0	0.0			
2020-02-05	8	0	0	0	6	0	0	0	0	0.0	0	0.0			
2020-02-06	10	0	2	0	8	0	0	0	0	0.0	0	0.0			
2020-02-07	10	0	0	0	8	0	0	0	0	0.0	0	0.0			
2020-02-08	13	0	3	0	7	0	0	0	0	0.0	0	0.0			
2020-02-09	13	0	0	0	7	0	0	0	0	0.0	0	0.0			
2020-02-10	14	0	1	0	6	0	0	0	0	0.0	0	0.0			
2020-02-11	15	0	1	0	7	0	0	0	0	0.0	0	0.0			
2020-02-12	15	0	0	0	7	0	0	0	0	0.0	0	0.0			
2020-02-13	16	0	1	0	6	0	0	0	0	0.0	0	0.0			
2020-02-14	16	0	0	0	6	0	0	0	0	0.0	0	0.0			
2020-02-15	16	0	0	0	3	0	0	0	0	0.0	0	0.0			
2020-02-16	16	0	0	0	3	0	0	0	0	0.0	0	0.0			
2020-02-17	16	0	0	0	2	0	0	0	0	0.0	0	0.0			
2020-02-18	16	0	0	0	1	0	0	0	0	0.0	0	0.0			
2020-02-19	16	0	0	0	1	0	0	0	0	0.0	0	0.0			
2020-02-20	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-21	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-22	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-23	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-24	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-25	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-26	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-27	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-28	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-29	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-03-01	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-03-02	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-03-03	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-03-04	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-03-05	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-03-06	16	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-03-07	18	0	2	0	2	0	0	0	0	0.0	0	0.0			
2020-03-08	30	0	12	0	14	0	0	0	0	0.0	0	0.0			
2020-03-09	30	0	0	0	14	0	0	0	0	0.0	0	0.0			
2020-03-10	31	0	1	0	15	0	0	0	0	0.0	0	0.0			
2020-03-11	38	0	7	0	22	0	0	0	0	0.0	0	0.0			
2020-03-12	39	0	1	0	23	0	0	0	0	0.0	0	0.0			
2020-03-13	47	0	8	0	31	0	0	0	0	0.0	0	0.0			
2020-03-14	53	0	6	0	35	0	0	0	0	0.0	0	0.0			
2020-03-15	56	0	3	0	26	0	0	0	0	0.0	0	0.0			
2020-03-16	61	0	5	0	31	0	0	0	0	0.0	0	0.0			
2020-03-17	66	0	5	0	35	0	0	0	0	0.0	0	0.0			
2020-03-18	75	0	9	0	37	0	0	0	0	0.0	0	0.0			
2020-03-19	85	0	10	0	46	0	0	0	0	0.0	0	0.0			
2020-03-20	91	0	6	0	44	0	0	0	0	0.0	0	0.0			
2020-03-21	94	0	3	0	41	0	0	0	0	0.0	0	0.0			
2020-03-22	113	0	19	0	57	0	1	0	0	0.0	0	0.0			
2020-03-23	123	0	10	0	62	0	1	0	0	0.0	0	0.0			
2020-03-24	134	0	11	0	68	0	1	0	0	0.0	0	0.0			
2020-03-25	141	0	7	0	66	0	1	0	0	0.0	0	0.0			
2020-03-26	153	0	12	0	68	0	1	0	0	0.0	0	0.0			
2020-03-27	163	0	10	0	72	0	1	0	0	0.0	0	0.0			
2020-03-28	174	0	11	0	80	0	1	0	0	0.0	0	0.0			
2020-03-29	188	0	14	0	75	0	1	0	0	0.0	0	0.0			
2020-03-30	203	0	15	0	80	0	2	0	0	0.0	0	0.0			
2020-03-31	212	0	9	0	78	0	2	0	0	0.0	0	0.0			
2020-04-01	218	0	6	0	77	0	2	0	0	0.0	0	0.0			
2020-04-02	233	0	15	0	80	0	2	0	0	0.0	0	0.0			
2020-04-03	237	0	4	0	74	0	2	0	0	0.0	0	0.0			
2020-04-04	240	0	3	0	66	0	2	0	0	0.0	0	0.0			
2020-04-05	241	0	1	0	53	0	2	0	0	0.0	0	0.0			
2020-04-06	245	0	4	0	42	0	2	0	0	0.0	0	0.0			
2020-04-07	249	0	4	0	37	0	2	0	0	0.0	0	0.0			
2020-04-08	251	0	2	0	33	0	2	0	0	0.0	0	0.0			
2020-04-09	255	0	4	0	22	0	2	0	0	0.0	0	0.0			
2020-04-10	257	0	2	0	20	0	2	0	0	0.0	0	0.0			
2020-04-11	258	0	1	0	18	0	2	0	0	0.0	0	0.0			
2020-04-12	262	0	4	0	21	0	2	0	0	0.0	0	0.0			
2020-04-13	265	0	3	0	20	0	2	0	0	0.0	0	0.0			
2020-04-14	266	0	1	0	17	0	2	0	0	0.0	0	0.0			
2020-04-15	267	0	1	0	16	0	2	0	0	0.0	0	0.0			
2020-04-16	268	0	1	0	13	0	2	0	0	0.0	0	0.0			
2020-04-17	268	0	0	0	11	0	2	0	0	0.0	0	0.0			
2020-04-18	268	0	0	0	10	0	2	0	0	0.0	0	0.0			
2020-04-19	268	0	0	0	6	0	2	0	0	0.0	0	0.0			
2020-04-20	268	0	0	0	3	0	2	0	0	0.0	0	0.0			
2020-04-21	268	0	0	0	2	0	2	0	0	0.0	0	0.0			
2020-04-22	268	0	0	0	1	0	2	0	0	0.0	0	0.0			
2020-04-23	268	0	0	0	0	0	2	0	0	0.0	0	0.0			
